#,Player,Team,GP,MPG,PPG,PPG_Grade,FGM,FGA,FG%,FG%_Grade,3PM,3PA,3P%,3P%_Grade,FTM,FTA,FT%,FT%_Grade,ORB,DRB,RPG,RPG_Grade,APG,APG_Grade,SPG,SPG_Grade,BPG,BPG_Grade,TOV,PF,OVR_Grade
45,John Tonje,UWISC,22,30.2,18.6,96,5.2,11.1,0.469,92,2.2,5.4,0.415,90,6.0,6.4,0.929,91,0.9,3.9,4.8,71,1.8,67,0.6,72,0.1,62,2.2,1.8,81
46,Dylan Harper,RUTG,19,31.5,18.6,96,6.5,13.4,0.488,94,1.6,4.8,0.337,82,3.9,5.6,0.708,69,1.0,3.8,4.8,71,4.1,73,1.1,82,0.5,70,2.2,1.6,80
47,George Kimble III,EKU,23,30.4,18.5,96,5.9,15.3,0.384,86,2.6,7.5,0.343,83,4.2,5.0,0.851,84,1.2,2.6,3.8,68,3.4,69,2.7,96,0.4,67,2.8,1.9,82
48,Isaac McBride,ORU,22,34.8,18.5,96,5.5,12.6,0.44,90,2.6,6.3,0.42,91,4.8,5.7,0.833,82,0.3,2.1,2.5,65,2.7,69,0.9,78,0.0,60,2.4,1.7,79
49,Ryan Kalkbrenner,CREI,21,32.8,18.5,96,7.1,10.6,0.676,99,0.6,1.5,0.406,89,3.6,4.9,0.728,71,2.3,6.0,8.4,84,1.5,64,0.7,74,2.8,98,1.3,1.1,85
50,Landon Glasper,NC A&T,21,35.8,18.5,96,6.0,18.2,0.332,81,3.3,10.0,0.333,82,3.0,3.7,0.821,81,0.4,3.1,3.5,67,2.3,69,1.4,84,0.2,63,1.8,2.1,78
51,Stefan Todorovic,PEPP,23,34.1,18.4,95,6.2,13.4,0.46,92,1.9,5.1,0.376,86,4.2,4.8,0.873,86,1.0,5.0,6.0,74,2.3,69,1.0,80,0.1,62,2.4,1.7,81
52,Devin Askew,LBSU,23,35.5,18.4,95,6.1,15.0,0.405,88,1.9,5.1,0.364,85,4.4,5.0,0.871,86,0.2,4.5,4.7,70,4.6,76,1.7,87,0.1,62,3.5,2.1,82
53,Bennett Stirtz,DRAKE,22,38.6,18.4,95,6.3,12.7,0.493,94,1.5,4.3,0.351,84,4.3,5.5,0.779,76,0.6,3.3,3.9,68,6.3,93,2.5,94,0.3,65,1.8,1.4,84
54,Trey Kaufman-Renn,PURD,22,29.7,18.4,95,7.4,12.3,0.604,99,0.1,0.3,0.429,91,3.4,5.6,0.605,60,2.4,3.8,6.2,74,2.4,69,0.7,74,0.2,63,2.3,2.7,79
55,Jackie Johnson III,FORD,22,28.8,18.4,95,6.6,15.7,0.419,88,2.5,7.9,0.324,81,2.6,3.5,0.744,73,0.5,2.5,3.0,66,2.7,69,1.5,85,0.0,60,2.2,1.4,78
56,Quimari Peterson,ETSU,23,32.7,18.3,95,6.9,14.2,0.483,94,2.2,5.6,0.395,88,2.4,3.1,0.764,75,1.4,2.6,4.0,69,4.0,72,1.6,86,0.1,62,2.1,1.6,81
57,Brandon Noel,WRST,24,33.2,18.3,95,6.8,12.7,0.538,96,1.2,3.4,0.358,84,3.5,4.3,0.806,79,1.8,5.9,7.7,79,1.7,66,1.0,80,0.9,79,2.3,2.2,83
58,Ante Brzovic,C of C,22,32.6,18.3,95,7.3,13.3,0.549,96,0.6,1.8,0.333,82,3.1,4.5,0.687,67,1.4,7.0,8.4,84,3.1,69,0.8,76,1.1,80,2.5,2.6,82
