#,Player,Team,GP,MPG,PPG,PPG_Grade,FGM,FGA,FG%,FG%_Grade,3PM,3PA,3P%,3P%_Grade,FTM,FTA,FT%,FT%_Grade,ORB,DRB,RPG,RPG_Grade,APG,APG_Grade,SPG,SPG_Grade,BPG,BPG_Grade,TOV,PF,OVR_Grade
712,Jeremy Roach,BAYL,15,31.8,11.9,78,4.5,10.9,0.409,88,1.7,4.8,0.347,83,1.3,1.8,0.704,69,0.5,1.4,1.9,63,3.5,70,0.9,78,0.1,62,1.6,1.7,74
713,Kadary Richmond,STJ,22,32.5,11.9,78,5.1,10.4,0.496,94,0.3,1.1,0.25,74,1.3,2.6,0.5,60,1.0,4.3,5.3,72,4.8,78,2.0,90,1.0,80,2.3,1.8,79
714,Dwayne Koroma,MOYNE,22,28.1,11.9,78,5.0,7.0,0.721,99,0.2,0.5,0.417,90,1.5,3.2,0.486,60,2.4,4.6,7.0,76,2.0,69,1.3,84,0.3,65,2.5,3.1,78
715,Stevie Mitchell,MARQ,22,27.7,11.9,78,4.2,8.2,0.514,95,0.8,2.1,0.391,88,2.6,3.5,0.75,74,1.9,2.5,4.5,70,1.6,65,2.7,96,0.2,63,0.9,2.3,79
716,"Mickey Pearson, Jr.",BLLST,21,29.6,11.9,78,3.6,8.4,0.429,89,1.2,3.8,0.316,80,3.4,4.1,0.837,82,1.4,4.2,5.6,73,1.4,63,0.5,70,0.5,70,1.4,1.6,76
717,Aaron Cooley,BRWN,19,31.4,11.8,78,4.4,9.4,0.469,92,1.1,3.2,0.333,82,1.9,3.4,0.569,60,1.8,4.8,6.6,75,1.3,63,0.5,70,0.7,76,1.3,1.9,75
718,Coltie Young,ULM,24,28.5,11.8,78,4.3,10.0,0.423,89,2.5,6.8,0.372,86,0.8,1.1,0.704,69,0.5,2.8,3.3,67,1.5,64,0.6,72,0.2,63,1.5,1.4,74
719,Jo'el Emanuel,FDU,23,32.7,11.8,78,4.1,9.0,0.461,92,1.3,3.7,0.357,84,2.3,4.0,0.559,60,1.3,4.0,5.3,72,2.2,69,0.9,78,0.3,65,1.3,2.6,75
720,Keishon Porter,NCCU,23,24.3,11.8,78,3.9,7.4,0.524,96,1.1,2.6,0.424,91,3.0,4.2,0.711,70,1.7,1.9,3.7,68,1.0,62,1.4,84,0.3,65,1.1,3.3,77
721,Alvaro Cardenas Torre,BOISE,22,33.8,11.8,78,4.1,8.9,0.464,92,1.3,3.7,0.341,83,2.3,3.1,0.725,71,0.4,2.3,2.7,65,6.8,98,1.6,86,0.0,60,2.5,1.8,80
722,"Tim Moore, Jr.",NJIT,22,26.5,11.8,78,4.2,8.6,0.492,94,0.8,2.3,0.36,85,2.5,3.2,0.8,79,2.1,5.0,7.2,77,0.2,60,0.9,78,1.6,85,1.3,1.8,80
723,Dain Dainja,MEMP,22,24.5,11.8,78,4.6,8.0,0.58,98,0.0,0.0,0.0,60,2.5,3.8,0.667,65,2.5,4.1,6.5,75,1.7,66,0.8,76,0.8,78,2.6,3.1,75
724,A.J. Dancler,MOYNE,21,29.0,11.8,78,4.1,9.3,0.441,90,1.9,4.4,0.435,92,1.7,2.5,0.679,66,0.4,3.0,3.5,67,3.1,69,1.0,80,0.2,63,2.2,2.1,76
725,Bryce Thompson,OKST,21,24.5,11.8,78,4.0,9.1,0.435,89,1.1,2.9,0.383,87,2.8,3.5,0.808,79,0.2,2.5,2.7,65,1.6,65,0.9,78,0.0,60,1.7,2.0,76
726,Isaac Haney,APSU,18,25.8,11.8,78,3.7,9.0,0.414,88,2.1,5.7,0.369,85,2.2,2.6,0.851,84,0.3,2.4,2.7,65,0.9,61,0.7,74,0.0,60,0.9,1.5,75
727,Zach Hicks,PENST,22,31.2,11.8,78,3.8,8.0,0.472,93,2.5,6.0,0.42,91,1.7,2.2,0.792,78,0.7,3.8,4.5,70,2.1,69,1.0,80,0.4,67,0.7,2.1,79
728,Jamaine Mann,GWU,22,28.6,11.8,78,4.3,7.6,0.563,97,0.5,1.5,0.375,86,2.7,4.2,0.641,63,1.9,2.9,4.7,70,1.5,64,0.5,70,0.3,65,2.4,3.0,75
729,Phillip Russell,VCU,22,23.7,11.8,78,3.5,8.5,0.417,88,2.1,5.8,0.362,85,2.6,3.2,0.814,80,0.7,1.2,1.9,63,2.3,69,1.3,84,0.0,60,1.3,2.7,76
730,Corey Stephenson,CSUB,22,25.3,11.8,78,4.6,9.4,0.488,94,0.4,0.9,0.474,96,2.2,2.9,0.762,75,2.2,3.2,5.4,72,1.1,62,1.1,82,0.2,63,2.2,3.5,78
731,Cord Stansberry,WCU,21,29.8,11.8,78,3.6,9.5,0.377,85,1.9,5.6,0.342,83,2.7,3.0,0.919,90,0.3,3.6,4.0,69,1.6,65,1.1,82,0.1,62,2.0,0.9,77
732,Kyler Vanderjagt,CMU,21,25.9,11.8,78,4.1,8.2,0.506,95,1.5,3.6,0.408,89,2.0,2.6,0.764,75,0.2,1.8,2.0,64,1.3,63,1.0,80,0.2,63,1.5,1.6,76
733,Jaden House,URI,21,26.7,11.8,78,3.8,8.0,0.476,93,0.8,2.4,0.314,80,3.4,4.1,0.816,80,0.3,3.0,3.2,67,1.3,63,0.3,66,0.0,60,1.9,2.1,74
734,A.J. Smith,C of C,21,26.1,11.8,78,4.2,9.9,0.423,89,0.7,2.7,0.246,73,2.7,3.3,0.826,81,1.2,2.2,3.4,67,0.9,61,0.7,74,0.0,60,1.2,2.3,73
735,Abou Ousmane,OKST,20,23.6,11.8,78,4.3,8.4,0.515,95,0.4,0.8,0.533,99,2.8,3.9,0.714,70,2.1,4.0,6.0,74,0.9,61,1.0,80,1.0,80,1.8,2.4,80
736,Amiri Stewart,HEART,20,25.8,11.8,78,3.9,8.7,0.448,90,1.0,2.9,0.333,82,3.0,4.2,0.723,71,1.1,3.2,4.3,69,2.3,69,2.0,90,0.9,79,1.9,3.4,79
737,Jayden Dawson,L-IL,16,27.4,11.8,78,3.8,9.4,0.404,88,1.9,5.8,0.326,81,2.3,3.0,0.75,74,0.4,2.6,2.9,66,1.7,66,0.9,78,0.6,74,1.2,2.3,76
738,Shaquil Bender,MAN,20,32.5,11.8,78,4.7,12.8,0.367,84,1.3,5.4,0.241,73,1.1,1.2,0.913,90,0.9,2.7,3.6,68,2.1,69,1.2,83,0.1,62,2.1,1.7,76
739,Jamile Reynolds,USOFL,19,23.5,11.7,78,4.6,9.3,0.5,95,0.2,1.2,0.174,66,2.3,3.1,0.741,73,1.6,5.8,7.4,78,0.8,61,0.4,69,1.3,82,2.0,2.1,76
740,Jacob Hutson,UNI,22,22.5,11.7,78,4.0,8.0,0.494,94,0.8,2.3,0.333,82,3.0,4.4,0.691,68,1.1,2.7,3.8,68,1.8,67,0.4,69,0.5,70,1.4,1.8,75
741,Parsa Fallah,ORST,22,23.1,11.7,78,4.6,7.5,0.618,99,0.0,0.0,0.0,60,2.5,3.6,0.675,66,1.0,2.3,3.4,67,1.1,62,0.3,66,0.4,67,1.3,2.5,71
742,Jamal Fuller,LIU,25,30.6,11.7,78,4.2,8.4,0.498,94,1.0,2.9,0.361,85,2.3,3.6,0.633,62,1.7,4.5,6.2,74,1.3,63,0.9,78,0.7,76,1.6,2.4,77
743,Chibuzo Agbo,USC,21,33.1,11.7,78,3.6,9.6,0.378,85,2.1,6.0,0.357,84,2.3,2.7,0.875,86,1.3,3.7,5.0,71,1.5,64,1.0,80,0.1,62,1.0,3.0,77
744,Zion Stanford,TEM,21,25.3,11.7,78,4.2,8.5,0.494,94,0.6,1.8,0.342,83,2.7,3.8,0.713,70,0.6,3.3,3.9,68,1.9,68,0.7,74,0.7,76,1.6,2.2,77
745,Darius Hannah,BRDLY,23,27.3,11.7,78,4.7,8.1,0.572,97,0.7,1.8,0.366,85,1.7,2.4,0.714,70,0.9,4.6,5.5,72,1.3,63,1.1,82,1.0,80,1.6,2.6,79
746,Zavian McLean,FGCU,23,28.1,11.7,78,4.5,8.3,0.547,96,1.2,3.3,0.368,85,1.4,2.3,0.623,61,1.1,2.4,3.5,67,1.8,67,0.9,78,0.2,63,1.0,1.7,75
747,Chris Walker,BNGH,23,30.3,11.7,78,4.0,7.9,0.505,95,1.7,3.7,0.476,96,2.0,2.6,0.763,75,0.7,3.2,3.9,68,2.4,69,0.8,76,0.3,65,2.0,2.5,78
748,Quaran McPherson,NIU,19,21.7,11.7,78,3.8,8.5,0.451,91,1.3,3.2,0.41,90,2.7,4.3,0.63,62,1.0,3.8,4.8,71,0.7,61,0.9,78,0.0,60,0.8,2.3,74
749,Aden Holloway,UA,22,21.5,11.7,78,4.1,8.5,0.481,94,2.3,5.6,0.415,90,1.2,1.4,0.867,85,0.3,1.5,1.9,63,1.9,68,0.5,70,0.0,60,1.1,1.5,76
750,Robby Carmody,MOYNE,18,25.4,11.7,78,3.6,8.0,0.451,91,1.6,3.9,0.4,89,2.9,3.5,0.825,81,1.0,1.7,2.7,65,0.9,61,0.9,78,0.2,63,1.4,2.7,76
751,Jordan Pyke,UIW,23,26.0,11.7,78,4.8,8.0,0.603,99,0.6,1.3,0.448,93,1.4,2.2,0.66,65,2.2,3.5,5.7,73,1.7,66,0.9,78,0.4,67,1.4,1.6,78
752,Harold Woods,NEU,23,31.9,11.7,78,4.9,10.8,0.454,91,0.6,1.7,0.333,82,1.3,2.5,0.509,60,2.0,5.3,7.2,77,2.3,69,0.8,76,0.0,60,2.2,1.7,75
753,Jalen Weaver,FRSNO,20,32.1,11.7,78,4.1,10.7,0.385,86,1.4,4.1,0.329,81,2.1,2.6,0.824,81,0.5,3.5,3.9,68,1.3,63,1.2,83,0.3,65,2.0,1.5,76
754,Jamiya Neal,CREI,22,32.6,11.6,78,4.5,10.0,0.455,91,1.3,4.0,0.33,82,1.2,2.0,0.614,60,0.9,5.0,5.8,73,4.0,72,1.0,80,0.8,78,2.5,2.2,77
755,Jordan Pope,TEXAS,22,25.4,11.6,78,4.1,9.4,0.44,90,1.9,5.0,0.369,85,1.5,1.8,0.846,83,0.2,1.4,1.6,63,1.7,66,1.2,83,0.0,60,1.0,1.6,76
756,Connor Amundsen,DART,19,31.4,11.6,78,3.4,7.9,0.43,89,1.9,3.9,0.48,97,2.9,3.6,0.797,78,0.4,1.7,2.1,64,3.4,69,0.7,74,0.1,62,1.3,1.7,77
757,JaVaughn Hannah,WMY,19,26.4,11.6,78,4.5,10.5,0.425,89,0.9,3.2,0.283,77,1.8,2.3,0.773,76,1.6,2.0,3.6,68,1.8,67,1.2,83,0.2,63,0.7,1.9,76
758,Joson Sanon,ASU,16,26.4,11.6,78,4.3,9.3,0.456,91,2.0,4.6,0.432,92,1.1,1.6,0.692,68,0.3,2.8,3.0,66,1.1,62,0.4,69,0.2,63,1.3,2.0,74
759,Markhi Strickland,WMY,21,29.5,11.6,78,4.8,9.6,0.495,94,0.3,1.0,0.286,77,1.8,3.5,0.521,60,1.4,2.3,3.7,68,1.4,63,1.3,84,0.1,62,1.8,2.3,74
760,Ja'Sean Jackson,LAMAR,23,27.5,11.6,78,4.0,9.3,0.427,89,1.4,3.9,0.371,86,2.3,3.0,0.765,75,0.5,1.9,2.4,65,4.0,72,1.4,84,0.1,62,2.0,2.1,77
761,Kylen Milton,MRRY,23,28.6,11.6,78,3.7,7.9,0.473,93,1.0,3.3,0.299,78,3.1,4.5,0.699,68,1.2,3.0,4.2,69,1.3,63,1.2,83,0.1,62,1.6,2.1,75
762,Jordan Battle,CCU,23,29.0,11.6,78,3.7,8.7,0.418,88,1.9,4.8,0.396,88,2.4,2.9,0.821,81,0.3,3.3,3.6,68,1.7,66,0.3,66,0.0,60,1.2,2.2,75
763,Baye Ndongo,GT,22,27.0,11.6,78,4.5,8.6,0.524,96,0.2,0.5,0.333,82,2.4,4.0,0.596,60,2.1,5.5,7.6,79,1.5,64,1.0,80,0.7,76,2.4,3.4,77
764,Dezayne Mingo,MARSH,22,32.4,11.6,78,3.9,9.2,0.424,89,0.6,2.0,0.326,81,3.1,4.3,0.726,71,0.5,3.7,4.1,69,4.9,79,0.8,76,0.1,62,2.6,2.1,76
765,Adam Njie,IONA,22,29.2,11.6,78,4.5,10.9,0.408,88,0.9,3.0,0.299,78,1.8,2.5,0.709,69,0.8,1.9,2.7,65,3.6,70,1.6,86,0.0,60,2.9,2.0,75
766,Jerome Morton,MRHD,17,28.9,11.6,78,4.4,8.7,0.5,95,1.3,2.7,0.478,96,1.6,2.1,0.75,74,0.8,2.9,3.7,68,3.4,69,1.2,83,0.2,63,1.7,1.6,79
767,Kalen Garry,SDKSU,24,28.0,11.6,78,4.0,9.4,0.42,89,1.9,5.4,0.357,84,1.8,2.2,0.808,79,0.5,3.3,3.9,68,2.6,69,0.9,78,0.1,62,1.5,1.8,76
768,Tahaad Pettiford,AUB,21,21.0,11.6,78,4.0,9.1,0.44,90,2.0,4.8,0.406,89,1.6,2.0,0.829,81,0.3,1.4,1.7,63,2.7,69,1.2,83,0.1,62,1.7,2.5,77
769,Wesley Yates III,USC,21,26.7,11.6,78,4.2,8.7,0.486,94,1.3,3.3,0.391,88,1.8,2.3,0.776,76,0.9,1.5,2.4,65,1.3,63,1.2,83,0.2,63,1.3,2.2,77
770,Jadis Jones,LIND,23,32.4,11.6,78,4.3,8.2,0.532,96,0.1,0.3,0.25,74,2.8,4.8,0.582,60,2.3,3.7,6.0,74,1.3,63,1.5,85,0.6,74,1.3,2.0,76
771,Jahnathan Lamothe,NC A&T,23,35.2,11.6,78,3.9,9.7,0.397,87,1.9,5.4,0.347,83,2.0,2.7,0.738,72,0.8,6.0,6.9,76,2.8,69,1.2,83,0.3,65,2.3,2.8,77
772,Jordan Longino,VILL,22,32.7,11.5,78,4.1,9.4,0.435,89,1.5,4.3,0.351,84,1.9,2.3,0.82,81,0.9,1.8,2.6,65,2.2,69,1.5,85,0.3,65,1.1,2.2,77
773,Myles Rice,IU,22,28.3,11.5,78,4.0,9.3,0.436,89,0.8,2.5,0.321,81,2.6,3.0,0.892,88,0.5,2.6,3.1,66,3.0,69,1.1,82,0.1,62,2.5,2.6,77
774,Louis Semona,STONE,24,25.2,11.5,78,4.0,8.4,0.473,93,1.8,4.5,0.389,87,1.9,2.4,0.789,77,0.7,3.2,3.9,68,1.5,64,0.6,72,0.2,63,1.5,1.2,76
775,Julian Vaughns,CSUS,21,24.0,11.5,78,4.0,9.8,0.41,88,1.8,5.0,0.349,83,1.8,2.1,0.841,83,1.1,2.1,3.2,67,1.4,63,0.8,76,0.2,63,1.1,3.3,76
776,Isaiah Griffin,IDHST,21,30.0,11.5,78,4.2,10.6,0.399,87,1.0,3.3,0.286,77,2.1,3.3,0.629,61,1.3,2.5,3.8,68,0.7,61,0.5,70,0.2,63,1.0,1.6,71
777,Kaleb Stewart,SODAK,21,25.3,11.5,78,4.2,11.0,0.385,86,1.9,6.0,0.31,80,1.2,1.4,0.833,82,0.4,1.4,1.8,63,1.7,66,1.0,80,0.0,60,1.0,1.6,75
778,Christian Coleman,UAB,23,27.3,11.5,78,4.7,8.6,0.54,96,0.0,0.0,0.0,60,2.2,3.4,0.654,64,3.1,4.2,7.3,78,1.5,64,1.0,80,0.9,79,1.7,1.7,75
779,Terence Harcum,MRRY,23,34.5,11.5,78,3.8,10.4,0.364,84,2.1,6.6,0.318,80,1.9,2.4,0.768,75,0.4,1.9,2.3,64,1.9,68,1.0,80,0.0,60,1.2,3.0,74
780,Tahj Staveskie,CLEST,23,30.8,11.5,78,3.7,10.8,0.343,82,2.2,6.5,0.342,83,1.9,2.4,0.8,79,0.6,1.4,2.0,64,1.6,65,1.0,80,0.1,62,1.3,1.9,75
781,"Corey Camper, Jr.",UTEP,20,31.8,11.5,78,4.3,10.5,0.405,88,1.0,2.8,0.364,85,2.0,2.6,0.784,77,0.9,2.8,3.6,68,2.4,69,2.4,93,0.3,65,1.7,1.4,78
782,Mitch Mascari,DRAKE,22,37.4,11.5,78,3.5,7.8,0.45,91,3.1,6.7,0.466,95,1.4,1.5,0.882,87,0.1,2.2,2.3,64,1.1,62,1.1,82,0.0,60,1.3,2.0,78
783,Selton Miguel,UMD,22,26.8,11.5,78,4.3,9.6,0.445,90,2.0,4.6,0.422,91,1.0,1.4,0.71,70,0.2,1.6,1.8,63,1.9,68,0.8,76,0.1,62,0.8,1.5,75
784,John Buggs III,ETSU,22,29.3,11.5,78,4.0,9.1,0.433,89,2.8,6.5,0.431,92,0.8,1.0,0.739,72,0.3,1.7,2.0,64,1.4,63,0.7,74,0.0,60,0.6,2.1,74
785,"Latrell Wrightsell, Jr.",UA,8,25.6,11.5,78,3.5,7.0,0.5,95,2.4,5.6,0.422,91,2.1,2.5,0.85,84,0.5,1.3,1.8,63,2.0,69,0.5,70,0.1,62,1.3,1.6,77
786,A.J. McKee,UWM,23,29.6,11.5,78,4.2,10.3,0.407,88,1.1,4.2,0.26,75,2.0,3.0,0.681,67,1.0,1.9,2.9,66,1.9,68,1.3,84,0.3,65,1.7,2.4,74
787,Myles Rigsby,TROY,21,27.2,11.5,78,3.6,7.8,0.457,91,0.7,2.4,0.275,76,3.7,4.8,0.77,76,1.2,2.7,3.9,68,1.4,63,1.6,86,0.7,76,2.2,2.6,77
788,Zach Cleveland,LBRTY,19,32.3,11.5,78,4.4,9.3,0.477,93,0.2,0.6,0.25,74,2.5,4.6,0.54,60,1.5,5.1,6.5,75,5.1,81,0.9,78,0.8,78,2.4,2.1,78
789,Sasa Ciani,UIC,19,21.3,11.5,78,4.5,8.5,0.531,96,0.2,0.7,0.308,79,2.2,4.3,0.519,60,3.0,5.8,8.8,88,1.5,64,0.6,72,0.6,74,1.9,2.1,77
790,Isaac Williams,TAMU-CC,17,26.1,11.5,78,4.4,9.4,0.469,92,0.4,1.6,0.259,74,2.2,5.1,0.442,60,0.9,2.4,3.3,67,3.9,72,1.1,82,0.3,65,2.2,2.5,74
791,Kristian Gonzalez,IDAHO,22,24.5,11.5,78,4.0,8.8,0.459,91,1.5,4.3,0.337,82,1.9,2.4,0.792,78,1.3,1.5,2.8,66,1.2,62,0.5,70,0.2,63,0.9,1.0,74
792,Eian Elmer,MIAMI,20,27.3,11.5,78,4.4,8.7,0.503,95,1.7,4.3,0.395,88,1.1,1.4,0.778,76,0.8,3.8,4.5,70,1.5,64,1.9,89,0.8,78,1.1,2.4,80
793,Sean Smith,WIU,23,35.2,11.4,77,4.6,10.6,0.436,89,1.1,3.1,0.347,83,1.1,1.4,0.788,77,0.8,4.1,5.0,71,3.8,71,1.6,86,0.2,63,1.8,2.2,78
794,Joseph Pinion,ARKST,23,24.1,11.4,77,3.7,8.4,0.446,90,2.4,6.2,0.394,88,1.5,1.7,0.875,86,1.3,3.0,4.3,69,1.1,62,1.1,82,0.9,79,0.9,2.1,80
795,Matt Cross,SMU,21,28.3,11.4,77,4.0,8.0,0.503,95,1.5,3.8,0.392,88,1.9,2.7,0.696,68,2.6,5.8,8.4,84,1.8,67,0.9,78,0.5,70,1.7,1.7,79
796,Jaden Bradley,ARZ,21,33.0,11.4,77,4.0,8.7,0.462,92,0.7,2.2,0.326,81,2.7,3.4,0.803,79,0.6,2.9,3.5,67,3.9,72,2.0,90,0.1,62,1.9,1.8,78
797,Colby Garland,LONG,24,29.8,11.4,77,3.9,8.5,0.456,91,0.7,2.0,0.34,83,3.0,3.7,0.809,79,0.4,2.6,3.0,66,4.5,75,1.0,80,0.0,60,1.8,2.3,77
798,Nicolas Louis-Jacques,COLGT,24,28.1,11.4,77,4.2,9.3,0.448,90,1.9,5.2,0.371,86,1.2,1.5,0.778,76,0.3,1.4,1.7,63,1.4,63,0.7,74,0.3,65,1.4,1.9,75
799,Ezra Ausar,U of U,20,20.6,11.4,77,3.9,7.4,0.531,96,0.1,0.3,0.2,69,3.6,6.2,0.577,60,1.9,2.7,4.6,70,0.8,61,0.8,76,0.5,70,1.6,2.4,73
800,Kyler Filewich,WOFF,23,27.7,11.4,77,5.2,9.3,0.556,97,0.0,0.2,0.0,60,1.0,3.5,0.296,60,3.7,6.1,9.7,97,3.3,69,0.7,74,0.5,70,1.7,1.6,76
801,Josh Odunowo,UMBC,23,26.9,11.4,77,4.5,8.1,0.554,97,0.0,0.3,0.0,60,2.4,4.0,0.602,60,2.3,3.0,5.3,72,2.0,69,1.3,84,0.7,76,1.8,2.9,75
802,Chaunce Jenkins,SETON,18,27.3,11.4,77,3.4,9.4,0.367,84,1.7,4.1,0.411,90,2.8,3.6,0.797,78,0.7,3.3,3.9,68,1.7,66,0.7,74,0.4,67,1.7,2.3,76
803,"Terrell Ard, Jr.",MSMU,16,25.8,11.4,77,4.3,8.1,0.527,96,0.1,0.4,0.167,65,2.8,3.8,0.75,74,2.1,4.9,7.1,77,2.2,69,1.4,84,0.4,67,2.1,1.5,77
804,Justin Neely,ALBNY,23,24.7,11.3,77,4.1,8.0,0.514,95,0.2,0.9,0.19,68,3.0,3.7,0.802,79,1.9,5.1,7.0,76,1.5,64,0.7,74,0.1,62,1.3,2.2,75
805,"Scooter Williams, Jr.",TAMUC,23,24.5,11.3,77,4.0,9.7,0.406,88,1.0,4.8,0.209,69,2.4,3.5,0.7,69,1.2,2.0,3.2,67,2.2,69,1.3,84,0.7,76,2.7,2.0,75
806,Trey Thomas,BGSU,21,30.9,11.3,77,4.1,10.6,0.386,86,1.9,5.6,0.331,82,1.3,1.6,0.794,78,0.4,2.0,2.4,65,2.1,69,1.0,80,0.1,62,1.6,2.4,75
807,Dallas Howell,UNA,3,24.0,11.3,77,4.0,9.0,0.444,90,2.3,6.7,0.35,84,1.0,2.0,0.5,60,1.0,1.7,2.7,65,0.7,61,0.7,74,0.7,76,1.0,0.7,74
808,Chase Ross,MARQ,22,30.7,11.3,77,3.6,7.7,0.473,93,1.2,3.1,0.377,86,2.9,3.8,0.75,74,1.1,2.8,4.0,69,2.1,69,2.0,90,0.7,76,1.2,2.1,80
809,Chad Moodie,AAMU,22,28.3,11.3,77,4.7,8.8,0.531,96,0.0,0.2,0.0,60,2.0,4.9,0.398,60,1.9,3.9,5.7,73,1.3,63,0.9,78,2.0,90,2.5,2.0,75
810,Khaden Bennett,QUIN,22,25.6,11.3,77,3.5,8.8,0.404,88,1.3,3.7,0.354,84,2.9,3.7,0.78,77,1.1,3.7,4.8,71,1.7,66,1.3,84,0.3,65,1.3,2.5,77
811,Camryn Weston,MTSU,22,26.8,11.3,77,4.0,9.6,0.415,88,1.0,3.3,0.301,79,2.3,3.4,0.689,67,0.9,3.0,3.9,68,3.6,70,1.2,83,0.0,60,2.0,2.5,74
812,Daeshon Shepherd,LASAL,22,32.0,11.3,77,4.0,9.6,0.412,88,0.8,2.8,0.274,76,2.6,3.5,0.744,73,1.2,3.3,4.5,70,0.9,61,1.0,80,0.7,76,1.0,1.2,76
813,Robert Braswell IV,CHAR,22,25.3,11.3,77,3.4,7.5,0.452,91,1.2,3.5,0.351,84,3.3,3.9,0.847,83,0.9,1.6,2.5,65,0.5,61,0.7,74,0.7,76,0.9,2.6,77
814,"Jamal West, Jr.",NICH,23,24.0,11.3,77,3.8,7.5,0.506,95,0.0,0.4,0.1,60,3.7,5.0,0.746,73,2.3,3.6,5.9,73,1.2,62,0.7,74,1.6,85,1.0,2.6,75
815,Max Agbonkpolo,MTSTU,23,26.8,11.3,77,4.5,10.3,0.433,89,1.5,4.6,0.33,82,0.8,1.1,0.76,75,1.0,3.8,4.8,71,0.7,61,1.1,82,0.7,76,1.2,1.9,77
816,Josh Dilling,NKU,23,28.6,11.3,77,3.7,9.1,0.4,88,2.6,6.8,0.385,87,1.4,1.8,0.78,77,0.4,2.2,2.6,65,2.9,69,0.7,74,0.0,60,1.6,1.5,75
817,Kaleb Smith,UCR,23,27.3,11.3,77,3.9,10.7,0.36,84,1.6,5.1,0.314,80,2.0,2.7,0.738,72,1.3,3.5,4.8,71,1.1,62,0.4,69,0.0,60,1.7,2.0,72
818,J'Wan Roberts,U of H,20,30.0,11.3,77,4.9,9.3,0.524,96,0.0,0.0,0.0,60,1.6,2.8,0.582,60,2.8,3.8,6.6,75,1.7,66,1.1,82,0.9,79,1.9,1.9,75
819,"Roddy Gayle, Jr.",MICH,20,27.7,11.3,77,4.0,8.5,0.467,92,0.7,2.7,0.241,73,2.8,3.4,0.809,79,1.1,2.5,3.5,67,3.0,69,1.1,82,0.2,63,2.4,2.3,76
820,Devin McGlockton,VANDY,21,24.1,11.3,77,4.6,7.4,0.619,99,0.8,2.0,0.395,88,1.3,2.0,0.683,67,3.3,4.5,7.8,79,0.9,61,0.6,72,1.3,82,0.9,2.4,79
821,Alston Mason,ASU,21,35.5,11.3,77,3.7,8.9,0.414,88,1.5,4.1,0.36,85,2.5,3.1,0.8,79,0.3,2.3,2.7,65,3.6,70,0.6,72,0.2,63,2.0,1.8,75
822,Trey Tate III,MVSU,21,26.5,11.3,77,4.1,9.7,0.426,89,1.2,3.6,0.333,82,1.8,2.0,0.927,91,0.6,2.4,3.0,66,0.6,61,0.5,70,0.0,60,1.8,1.3,75
823,Elijah Hutchins,JMU,23,23.5,11.3,77,4.3,8.0,0.53,96,0.4,1.7,0.256,74,2.3,2.9,0.791,78,2.0,4.0,6.0,74,0.7,61,0.5,70,0.6,74,1.5,2.2,76
824,Drake Dobbs,STTOM,24,27.6,11.3,77,3.5,6.5,0.545,96,1.3,2.7,0.469,95,2.9,3.4,0.864,85,0.5,2.0,2.5,65,3.8,71,0.6,72,0.1,62,1.1,1.2,78
825,T.J. Madlock,ALAST,20,29.5,11.3,77,3.6,9.0,0.4,88,0.6,2.2,0.25,74,3.5,5.2,0.68,67,1.3,5.5,6.8,76,2.7,69,0.9,78,0.2,63,1.8,1.9,74
826,JoJo Moore,ORU,20,26.2,11.3,77,4.4,8.3,0.533,96,0.4,1.5,0.267,75,2.1,3.1,0.672,66,1.2,3.1,4.2,69,2.2,69,0.7,74,0.6,74,1.3,2.1,75
827,Elijah Saunders,UVA,21,27.4,11.2,77,3.9,8.6,0.453,91,1.1,2.7,0.404,89,2.3,2.9,0.817,80,1.0,4.1,5.2,72,0.8,61,0.5,70,0.3,65,1.5,2.0,76
828,John Christofilis,SEA,21,27.7,11.2,77,3.9,11.2,0.349,82,1.8,6.0,0.304,79,1.6,1.9,0.872,86,0.6,1.8,2.4,65,0.5,61,0.4,69,0.1,62,1.1,0.9,73
829,Steve Settle,TEM,22,32.4,11.2,77,3.4,7.3,0.463,92,1.5,3.5,0.416,90,3.0,4.2,0.72,71,1.1,5.0,6.1,74,1.9,68,0.9,78,1.0,80,1.0,1.6,79
830,Sam Vinson,NKU,22,33.1,11.2,77,3.6,10.0,0.364,84,0.8,3.3,0.25,74,3.1,4.4,0.719,70,0.8,3.6,4.5,70,4.2,73,1.8,88,0.3,65,2.0,2.0,76
831,Khamari McGriff,UNCW,22,19.6,11.2,77,4.5,6.8,0.671,99,0.1,0.1,0.667,99,2.0,3.0,0.692,68,1.4,2.8,4.1,69,0.6,61,0.4,69,1.0,80,0.9,2.3,78
832,Cliff Davis,UTRGV,22,29.8,11.2,77,3.9,11.0,0.357,83,3.0,8.9,0.344,83,0.4,0.6,0.615,60,1.5,3.1,4.6,70,1.7,66,1.0,80,0.1,62,1.1,1.5,73
833,Daniel Abreu,DRAKE,22,33.6,11.2,77,3.4,7.6,0.443,90,1.7,4.6,0.366,85,2.8,3.5,0.805,79,1.4,1.7,3.1,66,0.9,61,1.0,80,0.6,74,0.9,2.5,77
834,Frankie Collins,TCU,9,31.0,11.2,77,4.2,10.0,0.422,89,0.7,2.6,0.261,75,2.1,3.6,0.594,60,0.7,3.8,4.4,70,4.4,74,1.9,89,0.2,63,2.3,1.8,75
