#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
552,Jayden Pierre,PROV,22,33.6,12.8,4.5,10.5,.424,2.1,6.1,.343,1.8,2.2,.813,0.7,1.9,2.6,2.9,0.8,0.3,2.2,2.7
553,Jaden Wells,UTA,22,28.5,12.8,4.3,11.0,.388,2.9,7.7,.373,1.4,1.7,.789,1.0,2.1,3.1,1.4,1.4,0.1,1.6,2.5
554,Tre Donaldson,MICH,21,30.8,12.8,4.4,9.2,.479,2.0,4.5,.432,2.0,3.0,.651,0.6,2.9,3.5,4.3,1.0,0.1,2.2,1.3
555,"Mark Mitchell, Jr.",MZZOU,21,26.4,12.8,4.2,8.8,.484,0.4,1.7,.257,3.9,6.1,.628,1.5,3.3,4.9,1.7,1.2,1.0,1.5,1.5
556,Chad Venning,BOS,21,25.6,12.8,5.1,9.2,.557,0.0,0.3,.000,2.5,4.0,.612,1.2,2.8,4.0,0.7,0.5,1.4,1.8,2.8
557,Noah Farrakhan,HMPTN,21,29.1,12.8,4.6,11.4,.404,1.1,3.5,.324,2.4,3.1,.769,0.9,2.1,3.0,2.8,1.3,0.1,1.5,2.9
558,Noel Brown,STBN,23,30.8,12.7,4.8,8.1,.594,0.0,0.2,.200,3.0,3.9,.778,2.0,3.7,5.6,0.9,0.4,0.6,1.7,2.3
559,Tayton Conerway,TROY,22,28.6,12.7,4.7,10.2,.464,1.3,4.0,.315,2.0,3.1,.638,1.8,2.2,4.0,5.0,3.1,0.4,2.8,2.3
560,Jay Medor,FORD,22,30.6,12.7,3.7,9.2,.399,1.4,3.8,.357,4.0,4.7,.846,0.6,2.2,2.9,4.0,1.5,0.2,1.9,2.6
561,T.J. Wainwright,LBSU,22,28.1,12.7,4.3,9.0,.477,1.8,4.4,.406,2.3,2.7,.864,0.2,2.5,2.7,1.6,1.2,0.0,1.5,1.6
562,Rodney Rice,UMD,22,28.2,12.7,4.3,9.5,.452,2.0,5.5,.369,2.0,2.5,.818,0.7,1.5,2.3,2.0,0.8,0.0,1.0,1.8
563,Zion Fruster,EIU,22,30.8,12.7,4.6,10.6,.436,1.4,3.7,.378,2.0,2.8,.738,0.6,2.4,3.0,1.2,1.1,0.1,1.8,1.3
564,Javian McCollum,GT,18,28.7,12.7,4.2,9.7,.434,1.8,5.0,.356,2.5,2.9,.865,0.2,2.5,2.7,3.6,1.4,0.1,1.8,1.5
565,Marchelus Avery,OKST,21,23.0,12.7,4.1,9.4,.437,1.8,4.9,.373,2.7,3.7,.740,1.7,3.1,4.8,1.4,0.9,0.6,1.3,1.9
566,Jalen Lake,COLST,21,31.2,12.7,4.6,10.5,.436,2.1,6.2,.346,1.4,1.5,.938,0.3,2.7,3.0,2.0,0.6,0.3,1.4,1.3
567,"Darren Buchanan, Jr.",GW,20,30.8,12.7,4.1,9.1,.445,0.4,1.7,.206,4.3,6.2,.691,1.9,5.0,6.9,2.4,1.2,0.4,2.0,2.1
568,Jasin Sinani,CAM,23,32.5,12.7,3.9,10.3,.380,1.6,4.9,.319,3.3,4.1,.800,0.5,4.6,5.1,2.7,1.3,0.2,1.7,1.4
569,Riley Parker,STFPA,23,31.0,12.7,4.8,10.0,.480,1.9,4.6,.419,1.2,1.3,.903,0.3,3.1,3.4,3.5,0.6,0.1,2.6,1.6
570,Yanic Konan Niederhauser,PENST,22,23.7,12.7,4.9,7.8,.622,0.0,0.5,.100,2.9,4.5,.653,2.0,4.2,6.2,0.7,0.8,2.1,1.3,2.3
571,Juwan Gary,UNL,22,28.9,12.7,4.3,10.2,.424,1.0,3.5,.273,3.1,4.0,.773,1.6,3.2,4.9,0.7,1.2,0.6,1.2,2.0
572,Dane Erikstrup,WSU,24,27.7,12.7,4.5,8.9,.502,2.1,5.3,.398,1.6,2.4,.672,1.2,3.1,4.3,1.6,1.1,0.9,1.9,3.7
573,Tavari Johnson,AKR,21,23.8,12.7,4.7,10.4,.447,1.6,4.1,.395,1.7,1.9,.900,0.2,1.7,1.9,4.2,0.6,0.3,2.5,1.5
574,Jalen Sullinger,KENT,21,27.1,12.7,4.3,11.0,.392,1.9,6.1,.313,2.1,2.5,.830,0.1,1.4,1.5,1.7,1.1,0.1,1.8,1.5
575,Kellen Tynes,MAINE,23,33.2,12.7,4.7,10.9,.434,0.5,1.9,.279,2.7,3.3,.803,0.7,2.7,3.3,4.8,3.3,0.7,1.8,2.6
576,Cam Haffner,UE,20,30.2,12.7,4.8,10.5,.459,2.4,6.4,.367,0.7,1.2,.583,0.5,3.1,3.6,1.4,0.7,0.2,1.3,1.5
577,Rafael Castro,GW,22,28.7,12.6,4.7,6.8,.691,0.0,0.0,.000,3.3,5.3,.615,3.7,5.5,9.2,1.5,1.2,1.6,1.4,2.3
578,Brendan Coyle,SIENA,22,33.4,12.6,3.7,8.7,.424,3.0,7.4,.399,2.3,3.1,.739,1.0,3.5,4.5,0.8,0.9,0.2,0.9,2.3
579,Nick Spinoso,PENN,19,27.5,12.6,5.1,10.2,.495,0.3,1.3,.250,2.2,3.9,.568,1.6,4.8,6.5,3.4,0.9,0.8,2.8,2.3
580,Carter Welling,UVU,20,23.9,12.6,4.3,9.1,.473,0.8,2.4,.313,3.3,4.8,.677,1.7,4.4,6.1,1.5,0.7,1.9,2.3,3.0
581,Jaylen Curry,UMass,22,29.3,12.6,4.2,11.7,.362,1.2,3.7,.329,2.9,4.3,.674,0.9,3.0,3.8,4.1,1.2,0.1,1.4,2.7
582,Alvaro Folgueiras Campos,RMU,24,29.2,12.6,4.4,8.7,.510,1.0,2.8,.358,2.8,3.5,.786,2.5,7.3,9.9,3.2,1.3,1.1,2.0,2.5
583,Michael Christmas,LONG,24,29.0,12.6,4.2,10.1,.416,2.3,6.2,.372,1.9,2.7,.692,1.6,2.6,4.2,1.1,0.5,0.3,1.1,1.7
584,Liam Murphy,UNF,23,22.8,12.6,4.3,10.0,.435,3.2,7.7,.416,0.7,0.9,.714,1.1,2.2,3.3,1.3,0.6,0.4,0.7,1.5
585,Zaon Collins,FRSNO,20,34.8,12.6,4.7,10.2,.463,1.2,3.0,.383,2.0,2.8,.727,0.5,3.3,3.7,4.4,2.0,0.2,2.5,2.4
586,Taelon Peter,LBRTY,22,20.9,12.5,4.5,8.1,.547,2.0,4.8,.415,1.6,2.1,.783,0.4,3.3,3.6,0.8,0.6,0.1,0.5,1.6
587,Elijah Lewis,MRST,19,31.3,12.5,4.1,9.7,.418,0.8,3.2,.262,3.6,4.4,.819,0.8,3.9,4.8,2.0,0.9,0.5,1.6,1.9
588,Marcus Millender,UTSA,21,33.1,12.5,4.2,10.1,.418,2.0,4.6,.433,2.0,2.3,.878,0.5,1.9,2.4,3.2,1.6,0.0,1.6,2.0
589,Marcus Hill,NCST,21,29.2,12.5,5.1,10.7,.478,0.3,1.2,.231,2.0,3.0,.683,1.5,2.5,4.0,2.0,0.7,0.0,1.0,1.6
590,A.J. Brown,OHIO,21,26.2,12.5,4.0,8.5,.464,1.7,4.4,.391,2.9,3.3,.871,1.0,1.9,2.9,1.1,1.2,0.0,1.3,2.4
591,Rob Martin,SEMO,23,30.3,12.5,4.8,10.7,.445,1.1,2.9,.394,1.8,2.3,.808,0.4,2.0,2.3,4.2,1.0,0.2,1.3,2.1
592,Marcus Hall,UWGB,23,33.8,12.5,4.0,9.2,.439,1.7,4.7,.361,2.7,3.3,.829,0.6,3.6,4.1,2.3,0.6,0.2,2.5,2.2
593,Keonte Jones,CSUN,22,30.5,12.5,4.3,8.7,.495,0.5,1.0,.478,3.4,5.1,.655,2.6,6.6,9.2,4.0,1.9,1.4,2.7,3.0
594,Paul Otieno,QUIN,22,30.4,12.5,4.8,8.2,.589,0.3,1.0,.333,2.5,3.3,.767,4.2,4.7,8.9,1.0,0.8,1.8,1.3,3.0
595,Nate Bittle,OREG,22,26.6,12.5,4.6,9.3,.500,0.9,3.0,.288,2.4,3.0,.788,1.8,5.4,7.2,1.8,0.6,1.9,1.6,2.6
596,Gytis Nemeiksa,HAW,22,23.0,12.5,4.1,8.2,.506,1.1,3.3,.333,3.1,4.2,.742,1.9,4.6,6.5,1.2,0.7,0.5,1.4,2.2
597,J.J. White,OMAHA,24,25.8,12.5,4.2,8.6,.488,1.6,3.9,.415,2.5,3.3,.756,0.5,2.0,2.5,3.1,0.6,0.0,1.8,2.1
598,Jordan Wood,STET,23,26.3,12.5,4.0,9.0,.447,1.8,5.1,.350,2.6,3.2,.811,0.6,3.5,4.0,1.4,0.9,0.8,1.7,2.2
599,Money Williams,MONT,23,27.4,12.5,4.0,10.6,.381,1.7,4.8,.342,2.7,3.6,.768,0.4,2.7,3.1,3.4,1.1,0.4,2.7,2.4
600,Rob Brown III,NICH,23,28.5,12.5,4.1,10.2,.404,2.3,6.6,.349,1.9,2.3,.830,0.5,2.6,3.1,0.9,0.9,0.0,1.1,1.2
601,Malik Reneau,IU,17,22.8,12.5,4.8,8.8,.550,0.2,1.1,.158,2.6,3.6,.738,1.7,3.8,5.5,2.0,1.1,0.4,1.6,2.7
602,Donnie Freeman,SYRA,15,23.7,12.5,4.5,9.0,.504,0.8,2.4,.333,2.6,3.3,.796,1.0,6.4,7.4,1.3,0.3,0.3,1.7,1.6
603,Jayden Jackson,NAU,22,31.1,12.5,4.5,9.4,.476,0.7,2.4,.302,2.8,3.4,.827,2.1,2.1,4.2,3.7,0.6,0.3,1.4,2.2
604,Brenen Lorient,UNT,22,24.1,12.5,4.5,7.5,.594,0.3,0.5,.636,3.2,4.3,.747,1.3,3.3,4.5,1.1,0.6,1.3,1.7,2.1
605,Emanuel Sharp,U of H,20,25.6,12.5,3.7,8.3,.442,2.4,5.5,.436,2.8,3.0,.932,0.3,2.8,3.0,1.0,1.3,0.0,0.8,2.3
606,Ahmad Henderson II,UIC,23,25.3,12.4,3.9,9.0,.437,1.4,4.1,.351,3.2,3.5,.913,0.4,2.7,3.1,3.1,1.2,0.0,2.2,2.5
607,Rasheed Jones,CCU,23,30.8,12.4,4.2,10.3,.409,2.1,5.8,.368,1.9,2.4,.768,0.3,3.9,4.2,1.8,0.8,0.2,1.3,2.2
608,Myles Che,UCI,23,27.9,12.4,3.8,9.0,.420,1.3,3.2,.397,3.6,4.1,.883,0.4,2.0,2.5,2.9,0.8,0.0,2.3,1.9
609,Caleb Grill,MZZOU,17,20.9,12.4,4.0,7.5,.531,2.9,5.9,.490,1.5,2.0,.765,0.9,2.2,3.1,0.9,1.4,0.1,0.8,1.4
610,Ryan Curry,USMA,22,33.5,12.4,4.5,10.4,.430,2.9,7.2,.403,0.6,0.8,.722,0.9,3.6,4.5,4.0,1.0,0.0,1.5,1.4
611,Kaleb Glenn,FAU,22,24.4,12.4,4.5,8.3,.538,1.4,3.5,.408,2.1,3.3,.639,1.8,2.9,4.7,0.6,0.7,0.3,1.3,2.4
612,Lamar Washington,PACI,25,34.8,12.4,4.4,11.8,.373,1.2,4.0,.310,2.4,3.0,.797,1.0,3.9,4.9,6.0,1.4,0.2,4.0,2.3
613,Derrius Ward,COPST,5,28.8,12.4,4.0,10.6,.377,1.2,4.0,.300,3.2,4.2,.762,0.8,4.2,5.0,0.4,1.2,0.4,2.0,1.4
614,Erik Timko,DEL,23,31.7,12.4,3.7,8.3,.447,1.9,4.6,.415,3.1,3.6,.866,0.7,3.7,4.4,1.9,0.6,0.3,1.0,2.0
615,Gabe Dorsey,W&M,23,26.3,12.4,4.0,9.3,.423,2.9,7.1,.402,1.6,1.9,.841,0.7,2.6,3.3,0.9,0.9,0.2,0.7,1.8
616,Antwan Burnett,GRAMB,18,32.3,12.4,4.5,10.1,.445,1.2,3.3,.373,2.2,3.3,.650,0.9,4.8,5.7,1.9,1.2,0.2,2.1,2.0
617,Julius Thedford,WKU,18,21.9,12.4,3.9,9.2,.428,1.7,4.6,.366,2.8,4.5,.630,0.6,3.3,3.8,0.9,0.6,0.3,1.2,1.9
618,"Eric Dailey, Jr.",UCLA,21,24.4,12.4,4.6,8.5,.542,1.0,2.7,.393,2.1,2.8,.746,1.3,3.0,4.3,1.7,1.2,0.1,0.9,2.8
619,Basheer Jihad,ASU,21,28.3,12.4,3.7,8.4,.438,0.9,2.8,.305,4.2,5.5,.759,1.5,4.7,6.2,1.7,1.1,0.8,3.1,2.6
620,Jayden Reid,USOFL,21,29.2,12.4,3.9,9.9,.391,1.9,5.0,.368,2.8,3.8,.747,0.4,2.1,2.6,3.9,1.7,0.0,2.6,1.0
621,Ian Schieffelin,CLEM,22,33.4,12.4,4.6,9.7,.472,0.9,2.7,.317,2.3,3.1,.739,2.9,6.6,9.5,3.2,0.9,0.8,1.8,1.9
622,Bryce Lindsay,JMU,22,27.5,12.4,4.2,9.1,.463,2.6,6.4,.414,1.3,1.5,.848,0.4,2.4,2.7,2.0,0.6,0.1,1.2,1.2
623,Sincere Parker,MCNST,22,20.5,12.4,4.6,10.4,.443,1.1,4.0,.284,2.0,2.5,.804,0.7,2.0,2.6,0.5,0.8,0.1,0.8,1.8
624,Noah Reynolds,TCU,20,31.4,12.4,4.5,10.0,.447,1.2,3.6,.319,2.3,3.2,.730,0.2,2.1,2.3,3.4,0.7,0.0,1.8,1.5
625,Joe Nugent,HC,23,33.0,12.3,4.1,9.2,.445,2.7,6.2,.437,1.5,1.7,.895,1.3,4.1,5.4,0.7,0.7,0.2,1.2,2.1
626,Ethan Price,WSU,24,31.0,12.3,4.1,8.5,.480,1.5,4.2,.360,2.7,3.4,.790,1.1,4.4,5.5,2.4,0.5,0.6,2.3,2.6
627,Carlos Stewart Jr.,SCU,24,29.0,12.3,4.2,9.0,.461,2.0,5.1,.393,2.0,2.5,.787,0.3,2.5,2.7,2.8,1.4,0.1,1.6,1.6
628,Jacob Theodosiou,L-MD,21,29.2,12.3,3.7,9.4,.394,1.6,4.5,.351,3.3,4.1,.814,0.5,3.3,3.8,2.2,1.5,0.1,2.2,2.3
629,Josh Morgan,STONE,18,25.6,12.3,3.5,9.3,.375,2.1,5.2,.398,3.3,4.3,.756,0.5,2.4,2.9,1.0,0.7,0.1,1.2,2.2
630,Tre Carroll,FAU,22,21.1,12.3,4.8,9.0,.528,0.5,1.7,.297,2.3,3.2,.704,1.7,3.7,5.4,1.6,0.9,0.7,1.3,2.2
631,Will McClendon,SJSU,22,32.1,12.3,3.9,10.5,.368,2.0,5.5,.355,2.6,3.2,.817,0.4,2.9,3.3,2.9,0.9,0.0,0.9,1.7
632,Chuck Harris,SMU,22,24.3,12.3,4.2,9.2,.453,2.2,4.8,.453,1.8,2.1,.848,0.5,2.0,2.5,1.9,0.7,0.2,1.6,2.5
633,Daniel Ortiz,UNA,23,27.3,12.3,4.1,12.0,.342,3.2,9.3,.343,1.0,1.3,.733,0.4,1.9,2.3,0.6,1.2,0.0,0.6,1.1
634,Caden Pierce,PRIN,20,32.0,12.3,4.8,9.6,.495,1.0,2.4,.404,1.9,2.9,.638,2.3,5.2,7.5,3.2,1.0,0.3,1.8,1.5
635,Anquan Hill,HEART,17,25.9,12.3,4.5,7.9,.570,1.6,3.2,.500,1.6,2.5,.651,1.5,3.5,5.1,1.1,0.5,0.6,1.2,1.6
636,Nick Johnson,WIN,24,27.7,12.3,3.6,8.5,.424,1.1,3.6,.310,3.9,5.6,.701,0.6,2.1,2.8,1.5,1.4,0.5,1.9,2.7
637,Zakai Zeigler,TENN,21,34.4,12.3,3.8,10.4,.361,1.7,6.0,.278,3.1,3.6,.867,0.6,2.9,3.5,7.4,2.1,0.3,3.0,1.8
638,Tyson Dunn,BUFF,21,29.4,12.3,4.8,11.0,.439,1.4,4.7,.296,1.3,1.9,.692,0.5,3.9,4.4,5.9,1.9,0.4,4.7,2.2
639,Jayden Epps,GTOWN,18,29.0,12.3,4.3,10.4,.415,1.9,5.1,.374,1.7,2.2,.775,0.2,1.8,2.0,2.2,1.4,0.1,1.9,1.3
640,Jackson Shelstad,OREG,22,32.0,12.3,4.3,9.9,.436,1.7,4.5,.374,2.0,2.2,.878,0.4,2.7,3.1,2.7,1.0,0.0,1.2,1.0
641,Raekwon Horton,UTSA,19,34.3,12.3,3.9,8.1,.490,0.8,3.2,.267,3.5,4.2,.838,2.2,3.9,6.1,1.7,1.9,0.3,1.6,2.4
642,Jalen Bolden,ULM,24,33.2,12.3,4.5,12.0,.373,0.6,2.8,.227,2.7,4.0,.677,2.0,4.4,6.4,2.7,2.0,0.3,1.8,1.9
643,Javan Simmons,U of T,21,28.8,12.2,4.3,8.0,.542,0.0,0.1,.000,3.6,5.0,.708,2.8,3.5,6.3,2.4,0.4,0.5,1.6,2.5
644,Jordan Stiemke,L-MD,21,26.6,12.2,4.3,10.6,.405,2.0,5.8,.339,1.7,2.2,.766,0.8,2.6,3.4,1.0,1.0,0.9,1.1,2.3
645,Noah Collier,W&M,22,19.5,12.2,4.9,7.8,.632,0.2,0.5,.417,2.2,3.0,.727,2.0,3.0,5.0,1.0,0.4,0.5,1.4,2.1
646,Jalen Haynes,GMU,22,23.9,12.2,5.0,8.5,.583,0.0,0.5,.091,2.3,4.2,.538,2.1,4.8,6.9,0.9,0.5,0.8,2.3,2.6
647,Christian Ings,NORF,22,27.5,12.2,4.2,8.1,.514,1.0,2.0,.511,2.8,3.9,.721,0.3,1.6,1.9,3.4,0.9,0.1,2.2,1.0
648,Jay Alvarez,RIDER,22,29.5,12.2,4.5,10.8,.418,1.4,4.0,.341,1.9,2.3,.804,1.5,3.3,4.8,0.8,0.8,0.0,1.2,1.5
649,Brandon Mitchell-Day,DART,18,25.6,12.2,4.1,9.0,.457,0.6,1.8,.344,3.4,4.1,.824,2.2,4.9,7.2,2.5,0.6,0.7,2.2,2.8
650,Connor Withers,BRYNT,23,34.1,12.2,4.0,9.1,.433,2.6,6.8,.376,1.7,2.1,.816,0.8,4.7,5.6,2.8,1.8,1.4,2.0,3.0
651,Brian Taylor II,SIUE,23,31.0,12.2,4.3,9.1,.476,1.3,2.5,.534,2.2,3.1,.704,1.0,2.9,3.9,2.7,0.8,0.3,2.0,1.9
652,Justin Hohn,UCI,23,29.1,12.2,4.3,11.0,.387,1.9,4.9,.389,1.8,2.3,.788,0.4,3.1,3.5,3.7,1.5,0.0,2.7,2.3
653,Khalif Battle,ZAGS,23,26.1,12.2,3.7,8.6,.434,1.6,4.6,.352,3.1,3.4,.923,0.4,2.9,3.3,1.4,1.0,0.0,1.6,2.1
654,All Wright,VAL,23,27.1,12.2,4.3,10.7,.404,1.4,3.9,.371,2.2,2.7,.794,0.5,1.4,1.9,2.6,0.6,0.2,1.2,2.5
655,"Jack Doumbia, Jr",WRST,24,23.6,12.2,4.8,9.1,.528,0.1,0.4,.300,2.5,3.8,.659,1.4,4.6,6.0,1.8,1.2,0.8,2.5,2.5
656,Seth Trimble,UNC,20,30.6,12.2,4.0,9.3,.425,0.9,3.0,.283,3.5,4.1,.841,1.4,4.0,5.4,1.6,1.5,0.4,1.2,1.6
657,Alex Crawford,FRSNO,20,30.6,12.2,4.8,8.7,.549,0.6,2.1,.293,2.1,3.0,.700,1.3,2.5,3.8,1.4,0.9,0.8,1.9,2.1
658,Danny Wolf,MICH,21,28.5,12.2,4.6,8.7,.527,1.0,2.9,.361,2.0,3.4,.592,2.1,7.8,10.0,3.7,1.0,1.6,3.6,2.0
659,David N'Guessan,KSU,21,29.1,12.2,4.9,7.7,.636,0.2,0.9,.278,2.1,3.7,.577,3.0,4.0,7.0,1.6,0.9,1.0,1.1,2.3
660,Nate Lliteras,UNF,23,28.6,12.2,4.1,8.7,.473,1.8,4.8,.382,2.1,3.0,.696,1.3,3.5,4.9,1.0,0.6,0.8,1.0,2.0
661,Bez Mbeng,YALE,18,31.0,12.2,4.0,9.5,.421,1.4,3.5,.397,2.8,4.1,.685,0.6,4.0,4.6,5.5,1.8,0.3,3.4,2.9
662,Justin Vander Baan,LAFAY,19,27.3,12.2,4.6,9.3,.500,0.3,1.3,.200,2.6,3.8,.685,1.6,4.7,6.4,2.3,0.7,3.1,1.5,2.3
663,Cooper Noard,COR,19,26.7,12.2,3.9,7.9,.497,2.5,5.9,.420,1.8,2.2,.829,0.2,2.7,2.9,0.9,0.6,0.1,0.6,1.4
664,Cavan Reilly,DEL,21,32.6,12.1,4.2,8.7,.484,2.0,5.4,.360,1.8,2.1,.844,0.6,2.5,3.1,1.6,1.0,0.1,1.3,2.3
665,Jayden Taylor,NCST,21,29.9,12.1,4.0,9.4,.424,1.5,4.3,.341,2.7,3.5,.757,0.4,2.6,3.0,1.7,1.5,0.3,2.0,1.7
666,Kylan Boswell,ILL,22,29.7,12.1,3.7,9.6,.389,1.0,4.1,.242,3.7,4.6,.794,1.3,3.9,5.2,3.5,1.2,0.2,2.3,1.6
667,Patrick McCaffery,BTLR,22,33.0,12.1,4.0,9.5,.428,2.3,5.7,.408,1.7,2.0,.864,0.6,4.4,5.0,1.4,0.3,0.2,0.7,0.9
668,Toby Nnadozie,COPST,22,30.8,12.1,4.4,10.8,.405,1.5,4.5,.343,1.9,2.5,.759,1.2,2.4,3.6,2.3,2.4,0.1,2.2,2.2
669,"Barry Dunning, Jr.",USA,23,31.0,12.1,5.0,11.7,.422,0.7,3.6,.193,1.5,2.0,.761,1.6,5.1,6.7,2.2,0.7,0.4,1.6,1.1
670,Nate Kingz,ORST,23,27.0,12.1,4.2,7.8,.539,2.0,4.0,.484,1.7,2.2,.800,0.6,1.8,2.4,1.7,1.0,0.5,0.8,1.7
671,Dillon Bailey,WOFF,23,28.4,12.1,3.7,8.4,.446,2.2,5.8,.381,2.4,3.1,.778,0.8,1.8,2.6,1.5,0.7,0.0,1.4,2.0
672,Kendall Blue,STTOM,24,26.4,12.1,4.5,8.9,.512,1.7,3.9,.441,1.3,1.9,.696,0.3,4.0,4.3,2.4,0.9,0.3,1.5,1.4
673,Jayson Petty,UMKC,24,29.3,12.1,3.5,9.8,.355,1.5,5.6,.267,3.7,4.9,.761,1.2,3.8,5.0,0.8,0.9,0.2,1.4,1.8
674,Brendan Hausen,KSU,21,28.0,12.1,3.6,8.6,.417,3.0,7.4,.413,1.9,2.3,.816,0.1,2.2,2.4,1.0,0.6,0.1,0.8,1.4
675,Bernie Blunt III,MC,21,25.5,12.1,3.7,9.3,.398,1.7,4.7,.357,3.0,3.2,.926,0.4,1.4,1.8,1.3,1.8,0.0,1.3,1.8
676,Des Watson,L-IL,21,33.6,12.1,4.0,11.4,.356,1.8,5.5,.328,2.2,3.1,.697,0.9,2.8,3.7,2.8,1.1,0.1,2.0,2.2
677,Tre Dinkins,DUQ,22,27.2,12.1,4.0,9.9,.399,2.3,6.0,.383,1.9,2.4,.788,0.2,2.0,2.3,2.7,0.8,0.1,1.4,1.4
678,Joe Pridgen,MONT,23,28.0,12.1,5.2,8.4,.622,0.2,0.7,.294,1.4,2.6,.559,2.2,5.2,7.4,1.5,0.8,0.7,1.3,2.2
679,Dallas Hobbs,MSMU,16,25.4,12.1,3.8,10.4,.367,1.6,5.2,.313,2.8,3.4,.818,0.2,3.5,3.7,3.1,1.0,0.0,2.6,1.9
680,Giancarlo Rosado,CHAR,18,28.1,12.1,3.9,7.7,.504,0.3,0.9,.313,4.0,5.4,.742,0.8,5.4,6.2,3.6,0.5,0.2,2.1,1.4
681,Avery Brown,COM,19,27.5,12.1,3.8,8.9,.426,0.7,2.5,.277,3.8,5.0,.758,0.5,1.8,2.3,2.9,1.2,0.3,2.1,2.2
682,Peter Filipovity,NMSU,21,27.4,12.0,4.4,10.0,.436,0.5,2.4,.196,2.8,4.2,.670,2.5,6.0,8.4,1.2,0.9,0.0,2.0,2.0
683,Tyler Harris,UWASH,21,29.1,12.0,4.4,8.7,.511,1.4,3.0,.468,1.8,2.4,.745,1.3,3.7,5.0,0.3,0.9,1.1,1.1,2.0
684,C.J. Gunn,DEP,21,23.2,12.0,4.6,10.7,.429,1.8,5.5,.330,1.1,1.5,.742,1.0,2.6,3.6,0.6,1.0,0.3,1.1,2.3
685,D.K. Thorn,UTRGV,22,29.0,12.0,4.1,10.0,.414,2.0,6.0,.336,1.8,2.1,.848,1.0,2.4,3.5,2.0,1.4,0.2,1.5,1.5
686,Moe Odum,PEPP,23,32.2,12.0,4.2,9.3,.449,1.4,4.0,.352,2.3,2.7,.855,0.2,2.6,2.8,7.0,1.4,0.0,2.3,2.0
687,"A.J. Ferguson, Jr.",MRRY,23,35.0,12.0,4.0,7.8,.506,1.1,2.8,.400,3.0,4.4,.676,1.2,4.2,5.4,1.4,1.0,0.4,1.8,3.0
688,Josh Massey,STET,23,25.4,12.0,4.1,7.8,.531,0.8,1.9,.409,3.0,3.7,.802,1.1,3.7,4.9,1.4,0.3,0.3,1.3,2.4
689,Alex Holt,MER,23,27.7,12.0,5.0,8.3,.600,0.0,0.0,.000,2.1,3.2,.649,3.0,4.1,7.2,1.3,1.0,0.7,1.3,2.5
690,Kenny Pohto,UCSB,22,25.8,12.0,4.8,7.7,.618,0.0,0.0,.000,2.5,3.7,.667,2.7,4.3,7.0,1.9,0.6,0.4,2.0,1.9
691,Keeshawn Kellman,FGCU,20,25.7,12.0,5.1,8.3,.614,0.3,0.7,.385,1.6,2.8,.554,1.6,5.5,7.0,1.1,0.3,1.2,1.8,2.5
692,Andrew Meadow,BOISE,22,27.9,12.0,3.6,7.7,.473,1.6,4.5,.350,3.1,3.7,.852,1.2,3.3,4.5,0.7,0.7,0.2,0.5,2.3
693,Sheldon Edwards,L-IL,21,26.0,12.0,4.1,9.3,.439,2.7,7.2,.375,1.1,1.3,.852,0.3,3.0,3.3,1.8,0.8,0.0,0.9,1.2
694,Simas Lukosius,CINCY,21,27.9,12.0,4.1,9.9,.413,2.3,6.1,.372,1.5,1.9,.821,0.9,2.4,3.3,2.4,1.0,0.0,1.5,1.0
695,Jaden Henley,UNLV,17,26.8,12.0,3.8,8.3,.461,1.2,2.9,.408,3.2,3.5,.900,1.0,2.8,3.8,1.4,1.4,0.2,1.8,2.3
696,Will Pruitt,LIP,23,30.2,12.0,4.2,9.1,.457,1.3,3.9,.322,2.3,3.1,.750,1.0,4.4,5.4,2.7,1.1,0.3,1.1,1.3
697,Jaylen Smith,UNF,23,26.4,12.0,4.0,9.4,.429,1.8,5.5,.333,2.0,3.0,.671,0.4,1.7,2.1,5.8,1.0,0.1,2.9,3.0
698,Jacob Meyer,DEP,23,23.6,12.0,3.7,9.2,.408,1.8,4.9,.375,2.7,3.5,.753,0.7,2.6,3.3,0.9,0.8,0.1,0.7,2.0
699,Daniel Rivera,UMass,22,28.7,12.0,4.3,9.9,.436,0.2,0.9,.211,3.1,5.6,.556,3.0,4.5,7.5,1.6,1.1,1.5,1.5,2.5
700,Kaden Gumbs,TXST,22,32.7,12.0,4.3,9.9,.433,0.5,1.4,.400,2.9,3.3,.863,0.4,3.3,3.7,4.3,1.6,0.3,2.3,2.0
701,Amaree Abram,LATCH,22,32.0,12.0,4.4,10.7,.407,2.1,5.5,.385,1.1,1.3,.857,0.5,4.4,4.9,1.9,1.6,0.1,2.0,2.0
702,Evan Johnson,UMES,17,27.9,11.9,3.9,8.9,.437,1.9,5.4,.359,2.2,2.7,.826,0.2,2.4,2.5,2.5,0.6,0.1,1.8,1.6
703,Nico Galette,YSU,24,29.8,11.9,4.5,10.3,.435,1.2,4.3,.282,1.8,2.5,.729,1.9,4.8,6.7,2.8,1.3,0.8,1.9,2.4
704,J'Vonne Hadley,LVILL,22,31.4,11.9,4.2,8.4,.505,0.9,2.6,.345,2.5,3.3,.767,2.4,4.9,7.3,1.7,0.6,0.2,1.8,2.4
705,Bensley Joseph,PROV,22,28.9,11.9,4.0,9.6,.420,2.0,5.2,.395,1.8,2.1,.830,0.6,3.5,4.1,3.0,1.2,0.1,2.2,2.5
