#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
35,Kam Jones,MARQ,22,33.3,19.0,7.7,15.6,.493,1.7,5.4,.322,1.9,2.9,.667,0.8,3.7,4.5,6.2,1.6,0.2,1.7,2.1
36,Sebastian Thomas,URI,19,35.9,19.0,6.0,13.2,.456,1.7,5.2,.327,5.3,7.6,.701,0.7,3.4,4.2,5.8,2.2,0.2,2.6,2.4
37,Brice Williams,UNL,22,31.7,19.0,6.0,12.9,.468,1.5,4.4,.354,5.4,6.0,.894,0.5,3.5,4.0,2.7,1.1,0.3,2.5,1.7
38,Tre Johnson,TEXAS,20,32.7,19.0,6.7,14.9,.450,2.5,6.5,.377,3.1,3.5,.886,0.2,2.6,2.7,2.3,1.0,0.4,1.6,1.9
39,Andrej Stojakovic,Cal,18,32.3,18.9,6.1,13.9,.440,1.4,4.5,.321,5.3,6.4,.826,1.1,3.3,4.4,1.7,0.8,1.1,1.9,1.3
40,"Brian Moore, Jr.",NORF,24,31.0,18.9,7.0,12.5,.557,1.0,2.2,.442,4.0,4.8,.836,0.6,3.3,3.9,3.0,1.5,0.3,1.7,1.9
41,Nick Anderson,PVAMU,12,31.5,18.9,6.8,14.3,.471,1.8,5.3,.328,3.7,4.3,.846,1.7,3.6,5.3,1.3,1.3,0.2,1.5,3.4
42,Rafael Pinzon,BRYNT,20,33.3,18.9,6.9,15.6,.444,2.7,6.3,.432,2.4,2.6,.904,0.7,2.7,3.4,2.6,1.0,0.2,2.5,1.3
43,Daniel Batcho,LATCH,22,28.2,18.8,6.8,9.5,.713,0.0,0.1,.500,5.2,6.9,.750,2.9,4.2,7.1,0.6,0.3,2.3,2.1,1.6
44,Tariq Francis,NJIT,19,34.9,18.7,6.5,18.3,.356,2.4,8.0,.303,3.3,3.9,.838,0.7,3.5,4.2,3.5,1.0,0.0,2.8,2.6
45,John Tonje,UWISC,22,30.2,18.6,5.2,11.1,.469,2.2,5.4,.415,6.0,6.4,.929,0.9,3.9,4.8,1.8,0.6,0.1,2.2,1.8
46,Dylan Harper,RUTG,19,31.5,18.6,6.5,13.4,.488,1.6,4.8,.337,3.9,5.6,.708,1.0,3.8,4.8,4.1,1.1,0.5,2.2,1.6
47,George Kimble III,EKU,23,30.4,18.5,5.9,15.3,.384,2.6,7.5,.343,4.2,5.0,.851,1.2,2.6,3.8,3.4,2.7,0.4,2.8,1.9
48,Isaac McBride,ORU,22,34.8,18.5,5.5,12.6,.440,2.6,6.3,.420,4.8,5.7,.833,0.3,2.1,2.5,2.7,0.9,0.0,2.4,1.7
49,Ryan Kalkbrenner,CREI,21,32.8,18.5,7.1,10.6,.676,0.6,1.5,.406,3.6,4.9,.728,2.3,6.0,8.4,1.5,0.7,2.8,1.3,1.1
50,Landon Glasper,NC A&T,21,35.8,18.5,6.0,18.2,.332,3.3,10.0,.333,3.0,3.7,.821,0.4,3.1,3.5,2.3,1.4,0.2,1.8,2.1
51,Stefan Todorovic,PEPP,23,34.1,18.4,6.2,13.4,.460,1.9,5.1,.376,4.2,4.8,.873,1.0,5.0,6.0,2.3,1.0,0.1,2.4,1.7
52,Devin Askew,LBSU,23,35.5,18.4,6.1,15.0,.405,1.9,5.1,.364,4.4,5.0,.871,0.2,4.5,4.7,4.6,1.7,0.1,3.5,2.1
53,Bennett Stirtz,DRAKE,22,38.6,18.4,6.3,12.7,.493,1.5,4.3,.351,4.3,5.5,.779,0.6,3.3,3.9,6.3,2.5,0.3,1.8,1.4
54,Trey Kaufman-Renn,PURD,22,29.7,18.4,7.4,12.3,.604,0.1,0.3,.429,3.4,5.6,.605,2.4,3.8,6.2,2.4,0.7,0.2,2.3,2.7
55,Jackie Johnson III,FORD,22,28.8,18.4,6.6,15.7,.419,2.5,7.9,.324,2.6,3.5,.744,0.5,2.5,3.0,2.7,1.5,0.0,2.2,1.4
56,Quimari Peterson,ETSU,23,32.7,18.3,6.9,14.2,.483,2.2,5.6,.395,2.4,3.1,.764,1.4,2.6,4.0,4.0,1.6,0.1,2.1,1.6
57,Brandon Noel,WRST,24,33.2,18.3,6.8,12.7,.538,1.2,3.4,.358,3.5,4.3,.806,1.8,5.9,7.7,1.7,1.0,0.9,2.3,2.2
58,Ante Brzovic,C of C,22,32.6,18.3,7.3,13.3,.549,0.6,1.8,.333,3.1,4.5,.687,1.4,7.0,8.4,3.1,0.8,1.1,2.5,2.6
59,Hunter Sallis,WF,22,35.4,18.3,7.0,14.6,.475,1.6,5.2,.307,2.8,3.4,.827,0.5,4.2,4.6,2.5,1.2,0.5,2.5,2.3
