Rank,Player Name,Team,Pos,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
1,Eric Dixon,VILL,F,29,34.7,23.6,7.9,16.8,46.7,3,7,43.1,4.9,5.8,83.4,5.5,2.2,0.8,0.3,2.2
2,Trent McLaughlin,NAU,G,30,36.5,22.2,7.5,17.8,42.1,3,8.6,34.7,4.2,5.6,74.4,3.6,3.4,1.8,0.3,1.7
3,Jamal Mashburn Jr.,TEM,G,23,36,22,7.3,16.9,42.9,2,4.7,43.1,5.4,6.8,79,3,2.2,0.7,0,1.8
4,Jaron Pierre Jr.,JVST,G,30,37.2,21.8,7.4,17.4,42.8,2.9,7.3,39.5,4,4.9,81.6,5.4,3.8,0.6,0.3,2.8
5,TY Johnson,UCD,G,29,33.5,21.6,7.3,18.8,39.2,1.2,4.4,27.6,5.7,7.5,76.1,4.3,2.8,2.3,0.2,3.9
6,PJ Haggerty,MEM,G,29,36.4,21.4,7.1,14.4,49.5,1.2,3,40.9,5.9,7.4,79.1,5.4,3.8,1.9,0.1,3.2
7,Markus Burton,ND,G,22,32.7,21.1,7.5,16.7,45.1,1.9,5,37.3,4.2,4.8,86.8,3.4,3.1,1.5,0.1,2.6
8,Taje' Kelly,CHSO,F,30,36.5,20.8,7.7,15.2,50.4,0.6,1.9,31.6,4.9,7.9,61.8,8.9,2.1,0.8,0.4,3.2
9,Terrence Brown,FDU,G,30,34.4,20.6,7.3,16.3,45.1,1.2,3.9,30.8,4.8,6.3,75.3,5.6,3.1,2.1,0.4,3.2
10,Jacksen Moni,NDSU,F,27,30.5,20.6,7,13.9,50.8,2.4,5.8,40.8,4.2,5,83.7,5.6,3.7,0.5,0.4,2.4
11,Tre Johnson,TEX,G,27,33.9,20.6,7.1,16,44.6,2.6,6.7,39,3.6,4.1,88.3,3.1,2.6,0.9,0.3,1.8
12,Jacob Ognacevic,LIP,F,31,33.1,20.3,7,12,58.2,1.5,3.5,41.3,4.8,6.1,78.8,8,1.5,0.3,0.4,1.8
13,Abdi Bashir Jr.,MONM,G,31,33.1,20.3,6.7,17.7,38,3.9,9.9,39.3,2.9,3.3,87.3,2.6,2.1,0.5,0.1,2.8
14,Maxime Raynaud,STAN,F,29,33.6,20.2,7.5,15.9,47.2,1.9,5.4,34.4,3.3,4.2,78,10.9,1.7,1,1.2,2.2
15,Barrington Hargress,UCR,G,30,31.9,20.1,7.4,17,43.5,2.2,6.7,32.7,3.1,4.3,73.4,2.3,3.9,1.1,0,2
16,Adam Clark,MRMK,G,30,36.7,20.1,7.9,17.5,45,0.6,2.1,29,3.8,4.9,77.6,4.4,5.7,2.8,0.1,3.2
17,Dominique Daniels Jr.,CBU,G,25,35,20,6.9,18,38.1,1.7,6.3,27.4,4.6,5.6,80.9,2.6,3.2,1.2,0,2.1
18,Primo Spears,UTSA,G,27,36.3,20,6.6,16.6,40,2.2,5.9,37.3,4.6,5.3,86.1,1.8,3.8,1.7,0.1,2.7
19,Paul McMillan IV,CAN,G,29,36.1,20,7.1,16,44.6,1.2,3.7,32.7,4.5,5.8,77.8,3.5,2.8,0.8,0,2.2
20,Donovan Dent,UNM,G,29,34.7,20,7.1,14.5,49,0.7,1.9,36.4,5.1,6.4,79,2.4,6.5,1.5,0.9,2.8
21,Nick Martinelli,NU,F,29,37.4,19.9,7.5,16,46.9,1.1,2.9,36.9,3.8,5.3,72.5,6.1,1.7,0.8,0.2,2
22,Aniwaniwa Tait-Jones,UCSD,G,30,29.5,19.8,6.4,10.9,58.9,0.5,1.4,34.9,6.5,8.4,77.1,5.3,3.4,1.3,0.4,2
23,Blaise Threatt,WEB,G,29,34.9,19.8,7.6,14.5,52,0.7,2.1,31.1,4,5.7,70.5,5.7,4.5,1.9,0,1.9
24,Lamar Wilkerson,SHSU,G,29,34.7,19.7,6.9,14.6,47.2,3.3,7.5,44,2.7,3.3,82.1,4,1.9,1,0.2,2
25,Brice Williams,NEB,G,29,33.1,19.7,6.3,13.5,46.8,1.7,4.9,35,5.3,5.9,90.1,4,2.8,1.2,0.3,2.3
26,Blake Harper,HOW,G,29,34.7,19.7,5.7,12.7,45,1.3,3.2,40.2,7,8.6,81.5,6.4,3.6,1,0,2.6
27,Trey Kaufman-Renn,PUR,F,29,30.3,19.6,7.9,12.9,61,0.1,0.2,42.9,3.7,5.7,65.1,6,2.3,0.8,0.3,2.3
28,Quimari Peterson,ETSU,G,31,34.4,19.5,7.1,15,47.2,2.7,6.3,43.1,2.6,3.5,75,4.5,3.7,2,0.2,2.2
29,Dylan Darling,IDST,PG,26,34.1,19.4,5.8,13.3,43.6,1.8,5,36.6,5.9,7.3,81.5,3.4,5.8,1.8,0.4,2.4
30,Dylan Harper,RUTG,G,26,32.2,19.3,6.6,13.5,48.9,1.7,5.1,34.1,4.3,5.8,74.3,4.5,4,1.4,0.5,2.3
31,Dawson Garcia,MINN,F,29,35.3,19.3,6.5,13.6,48,1.6,4.3,36,4.7,6.1,77.3,7.5,2,0.8,0.9,1.6
32,Cooper Flagg,DUKE,G,29,30.9,19.3,6.5,13.2,49.2,1.3,3.6,37.5,5,6,82.8,7.6,4.1,1.6,1.1,2.2
33,Jalen Jackson,PFW,G,30,31.5,19.2,6.7,13.8,48.9,1,3.5,27.6,4.8,6.4,75.4,4.2,3.2,1.6,0.4,2.2
34,Brandon Noel,WRST,F,31,33.9,19.2,7.2,13.2,54.9,1.2,3.2,36.4,3.6,4.8,75,8,1.7,1,0.9,2.2
35,John Tonje,WIS,G,29,31,19.2,5.5,11.7,47.1,2.2,5.9,37.6,5.9,6.5,91.5,4.9,1.7,0.8,0.2,2.1
36,Jordan Marsh,UNCA,G,30,28.9,19.2,7.1,15.6,45.5,1.5,4.8,31.3,3.5,4.3,80,4.3,3.6,2,0.3,2.3
37,Ray'Sean Taylor,SIUE,G,31,32.3,19.2,6,14.4,41.4,2.8,8.1,34.5,4.4,5.2,84.6,4.5,3.8,2,0.1,2.4
38,Mark Sears,ALA,G,29,32.4,19.1,5.4,13.1,41.2,2.6,7.1,36.1,5.8,6.9,84.5,3,5,1,0.1,2.8
39,Malik Thomas,SF,G,30,31,19.1,6,13.1,45.7,2,5.1,39.2,5.2,6.2,83.4,3.4,2,1.7,0.1,1.9
40,Ryan Kalkbrenner,CREI,C,28,33.5,19.1,7.5,11.4,65.6,0.6,1.6,37.8,3.5,5,68.8,8.8,1.5,0.6,2.7,1.4
41,Reed Bailey,DAV,F,29,32.8,19.1,6.5,13.2,49.2,0.5,1.1,42.4,5.6,7.2,77,6.2,3.8,0.8,0.7,2.7
42,Issac McBride,ORU,G,29,35.1,19,5.8,13.1,43.9,2.6,6.5,39.2,4.9,5.8,84.5,2.7,2.5,1,0,2.2
43,Bennett Stirtz,DRKE,G,30,39.3,18.9,6.6,13.2,49.7,1.7,4.5,38.1,4.1,5.2,79.4,4.4,5.9,2.2,0.2,2
44,John Poulakidas,YALE,G,23,31.3,18.9,6.4,14.6,44.2,3,7.6,40,3,3.3,89.6,3.4,1.3,0.6,0.1,0.8
45,Keyshawn Hall,UCF,G,29,32.9,18.9,5.9,13.4,43.6,1.4,3.8,36.7,5.8,7,82.4,7,2.3,0.8,0.4,2.8
46,Tariq Francis,NJIT,G,26,34.5,18.8,6.6,18.1,36.5,2.4,7.7,31.3,3.2,3.8,84.7,4.2,3.6,1,0,2.9
47,Marquel Sutton,OMA,F,31,32.5,18.8,6.6,13.8,47.8,0.9,2.9,30.3,4.7,6.3,74,7.5,1.2,0.8,0.3,1.7
48,RJ Felton,ECU,G,29,34.7,18.8,6.5,15.7,41.6,2.6,6.8,38.1,3.1,4.3,72.2,6.7,2.5,1.3,0.6,2.1
49,Jemel Jones,CSUB,G,31,26.6,18.7,7.1,14.8,47.7,1.1,3.1,36.1,3.5,4.1,85.7,3.5,2.1,0.8,0.4,2
50,Brian Moore Jr.,NORF,G,29,31.2,18.7,6.8,12.2,56.1,0.9,2.1,45,4.1,5,82.2,3.7,3,1.3,0.3,1.8
51,Rafael Pinzon,BRY,G,27,33.4,18.6,6.7,15.9,42.4,2.8,6.9,40.9,2.3,2.6,88.7,3,2.3,1,0.1,2.3
52,Jackie Johnson III,FOR,G,29,29.8,18.6,6.8,15.8,43.1,2.6,7.8,33.8,2.3,3.2,73.9,2.9,2.6,1.5,0,2.4
53,Adrian Wooley,KENN,G,30,33.1,18.6,6.3,12.2,51.4,2.1,5.2,40.8,3.9,5.1,76.5,5.2,3.5,1.4,0.1,3.4
54,Hunter Sallis,WAKE,G,29,36.1,18.5,6.7,14.4,46.5,1.3,4.8,27.9,3.7,4.6,80.6,5.1,2.8,1.2,0.6,2.4
55,Ante Brzovic,COFC,F,31,32.2,18.5,7.3,13.3,55,0.5,1.7,31.5,3.4,5,67.5,8.2,2.9,0.8,1.1,2.2
56,Jamir Watkins,FSU,G,29,30.4,18.5,5.6,12.9,42.9,1.7,5.2,32.9,5.7,7.6,74.5,5.3,2.2,1.2,0.5,2.8
57,Devin Askew,LBSU,G,30,36.4,18.5,6,15.1,39.4,2,5.4,36.2,4.6,5.2,87.8,4.7,4.7,1.6,0.1,3.7
58,Johni Broome,AUB,F,27,29.3,18.4,7.1,14.1,50.5,0.7,2.6,29,3.4,5.4,62.8,10.8,3.3,0.8,2.4,1.3
59,Kam Jones,MARQ,G,29,32.8,18.4,7.4,15.3,48.8,1.8,5.6,31.5,1.7,2.6,67.6,4.3,6.2,1.4,0.2,1.8
60,Josh Hubbard,MSST,G,29,32.8,18.4,5.8,14.3,40.1,3.1,9,35,3.7,4.2,87.8,2.3,3.3,1,0.1,1.1
61,Rashad King,NE,G,31,36.4,18.4,6.4,14.3,45,1.4,4.3,31.6,4.2,4.9,85.4,6,3.4,1.5,0.9,2.7
62,J.J. Starling,SYR,G,22,34.8,18.3,6.7,16,41.6,1.5,5.5,27.9,3.4,4.8,71.4,3.8,2.7,0.9,0.3,2.2
63,Austin Benigni,NAVY,G,31,33.5,18.3,5.6,13.8,40.7,1.1,3.1,35.8,5.9,6.9,85.6,3.2,4.2,0.9,0.2,2.4
64,Treysen Eaglestaff,UND,G,31,31.5,18.3,6,14.7,41,2.5,6.9,35.5,3.7,4.7,79.5,2.8,2.3,1,0.1,2.1
65,Javon Small,WVU,G,29,36.1,18.2,5.6,13.3,42,2.5,7,35.6,4.6,5.2,87.5,4.1,5.5,1.6,0.4,2.7
66,Ace Bailey,RUTG,G,27,33.4,18.2,7,15,46.5,1.7,4.6,36.3,2.6,3.8,68.9,7.3,1.3,1,1.3,2.1
67,Paul Zilinskas,IUIN,G,30,31.3,18.2,5.9,13.2,44.8,3,7.3,41.3,3.3,3.7,89.2,2.9,1.8,0.9,0.2,1.6
68,Tyson Degenhart,BOIS,F,29,33.4,18.1,5.9,11.4,51.5,1.2,3.8,32.1,5.1,6.4,79.7,6.1,1.6,0.5,0.2,1.5
69,George Kimble III,EKU,G,25,29.7,18,5.7,15,38,2.6,7.4,34.8,4.1,4.8,85.1,3.7,3.2,2.6,0.4,2.6
70,Stefan Todorovic,PEPP,F,31,34.2,18,5.9,13.5,43.6,1.9,5,37.4,4.3,5.1,84.8,5.7,2.3,1,0.1,2.4
71,Ketron Shaw,UMES,G,28,34.9,18,6,13.4,45.2,0.4,1.7,23.4,5.5,8.4,66.2,5.9,3.1,0.9,0.4,3.2
72,Simeon Cottle,KENN,G,30,31.8,17.9,5.5,14.2,38.6,2.8,8.7,32.1,4.1,4.7,87.9,2.4,3,0.8,0.2,2.5
73,Nique Clifford,CSU,G,29,35.3,17.9,6.4,13.1,49.3,1.8,4.8,37.9,3.2,4.3,74.4,10,4.3,1.1,0.7,2.7
74,Chaz Lanier,TENN,G,29,31.1,17.8,6.3,14.8,42.5,3.4,8.4,40.7,1.9,2.4,78.3,3.9,1,0.9,0.1,1.1
75,Obi Agbim,WYO,G,27,34.1,17.8,6.4,13.3,48.1,2.7,6,45.7,2.3,2.9,79.2,3.3,3.4,1,0.4,2.2
76,RJ Luis Jr.,SJU,G,29,31.6,17.8,6.4,14.4,44.3,1.1,3.8,30,3.9,5.3,73.9,6.9,2.3,1.5,0.6,2.1
77,Jalen Rucker,ARMY,G,29,33.6,17.7,6.5,15.6,41.9,2.1,6.5,33,2.5,3.1,80.2,4.2,3.1,1.6,0.1,2.2
78,Shelton Williams-Dryden,WGA,F,31,30.3,17.6,7.2,13,55.2,0.2,0.6,31.6,3,4.4,69.1,7.5,1.5,1.2,0.3,1.7
79,C.J. Walker,ECU,F,29,31.3,17.6,6.4,12.1,52.7,0.3,1.4,25,4.4,6.1,72.9,6.6,0.7,0.7,0.8,1.7
80,Robbie Avila,SLU,C,26,33.4,17.5,5.9,12,49.5,1.7,4.9,35.2,4,5.3,75.2,6.9,4,1.2,0.7,3.1
81,Isaiah Hawthorne,UNCO,F,29,29.2,17.5,5.9,11.7,50.3,2,5,39.7,3.8,4.7,81.5,5.3,1.2,1.2,0.5,1.7
82,Gibson Jimerson,SLU,G,29,37.4,17.5,5.6,13.2,42.7,3.2,8.8,36.2,3.1,3.7,83.3,4.5,0.8,0.6,0.2,1.2
83,Amarri Monroe,QUIN,F,29,32.5,17.5,6,14.9,40.5,1.6,5.6,27.6,3.9,4.8,81.3,9.2,1.6,2.3,0.8,2.7
84,Sebastian Thomas,URI,G,26,35.8,17.5,5.6,12.8,43.8,1.5,4.9,29.9,4.8,6.9,69.3,3.9,6.1,2.1,0.2,2.5
85,Darryl Simmons II,GWEB,G,29,33.6,17.4,6.4,14.6,43.9,2.7,6.8,39.6,1.9,2.1,90.3,3.1,2,1,0.1,2.3
86,Ryan Cornish,DART,G,25,29.2,17.4,5.6,13.4,42,2.1,5.4,38.8,4.1,5.5,74.5,4.8,3.3,1.4,0.2,2.6
87,Kino Lilly Jr.,BRWN,G,26,36.3,17.4,5.9,14.9,39.7,3.3,8.3,39.4,2.3,2.8,83.3,2.3,4.4,0.8,0.2,2.7
88,Michael Rataj,ORST,F,31,32.2,17.4,6.2,12.6,48.8,1.1,3,35.5,4,5.1,79.1,7.5,2,1.6,0.6,2.5
89,Robert Smith,DSU,G,27,30.6,17.4,6.4,15.2,41.8,2.6,7.2,35.6,2.1,2.9,74,3.1,3.1,1.3,0.1,2.6
90,Chase Forte,SDAK,G,31,26.8,17.4,5.8,12.4,47,0.8,2.7,30.6,4.9,7.5,64.5,4.4,3.3,1.9,0.3,2.4
91,Bruce Thornton,OSU,G,29,35.7,17.4,5.7,11.3,50.2,1.9,4.2,43.9,4.1,4.9,83.9,3.3,4.3,1.1,0.1,1.4
92,Nik Graves,CLT,G,29,34.2,17.4,5.1,12.2,42.2,1.8,5.6,31.7,5.3,7,76.7,4.2,2.8,1,0.2,1.4
93,Daniel Batcho,LT,F,29,27.9,17.3,6.2,9,68.6,0,0.1,25,5,6.5,76.2,6.6,0.6,0.3,2,2
94,JT Toppin,TTU,F,25,25.8,17.3,7,12.6,55.9,0.5,1.6,30.8,2.8,4,69.7,9,1,0.9,1.2,1.6
95,Yaxel Lendeborg,UAB,F,29,32.5,17.3,6.6,11.9,55.1,0.6,1.8,32.1,3.6,5,72.9,10.7,4.2,1.6,1.8,2.2
96,Noah Williamson,BUCK,C,30,29.2,17.3,6,11.3,53.2,0.9,2.8,32.9,4.3,7,61.1,7.6,1.6,0.9,1,2.8
97,Don McHenry,WKU,G,29,28.9,17.3,5.8,14.3,40.6,2,6.3,31.3,3.7,4.5,83.1,3.2,1.7,1.5,0.1,1.4
98,Oscar Cluff,SDST,C,29,27.5,17.3,6.6,10.4,63.6,0.1,0.2,60,3.9,5.1,77.6,12.2,2.9,0.5,0.8,2.2
99,RJ Davis,UNC,G,30,34.6,17.2,5.5,13.9,39.7,2.1,6.6,31.8,4.1,4.6,87.8,3.6,3.9,1.1,0.1,1.5
100,Matt Rogers,AMER,F,31,26.9,17.2,6.6,11.8,55.9,1.8,4.4,40.9,2.2,3,73.9,5.6,1.2,0.6,0.4,2
101,PJay Smith Jr.,FUR,G,29,31.3,17.2,5.3,12.2,43.2,3.3,8.1,41.1,3.3,4,83.5,4,3.6,1.6,0.2,2.2
102,Rahsool Diggins,MASS,G,29,34.6,17.2,5.9,15.7,37.6,2.8,8.8,31.9,2.6,3.1,83.3,2.8,2.8,1.2,0.2,2.2
103,Jason Edwards,VAN,G,29,24.7,17.2,5.4,12.2,44.2,2,5.7,36,4.4,5.2,84.1,1.8,1.4,0.8,0,1.6
104,Andrej Stojakovic,CAL,G,25,32.5,17.2,5.5,13.3,41.6,1.3,4.3,30.6,4.8,5.8,82.2,4.6,1.8,0.9,1.1,2.2
105,Malachi Davis,LIU,G,30,32.9,17.1,6.5,15.9,40.7,1.3,4.8,27.1,2.9,3.6,79.8,2.9,3.2,1.9,0.3,3.6
106,Quentin Jones,NIU,G,29,36.4,17.1,6,13,46,1.8,5,35.4,3.3,4.4,76.4,5,3.7,1.2,1,2.6
107,Jacari White,NDSU,G,31,30.8,17.1,5.5,12.1,45.2,2.8,7.1,39.8,3.4,3.9,85.2,4.3,2.3,0.7,0.4,2
108,Samage Teel,INST,G,31,33.7,17.1,5.8,12.2,47.9,2,5.5,35.5,3.5,4.4,79.3,4.2,5.2,1.2,0.2,3.2
109,Xzayvier Brown,JOES,G,26,35.7,17.1,5.3,12.4,42.9,1.8,5.3,34.1,4.7,5.2,89,5.1,4.8,1.3,0.1,2.6
110,Ian Martinez,USU,G,30,29.4,17,5,11.1,45,2.3,6,38.1,4.7,5.3,88.7,3.3,2.8,0.9,0.3,1.8
111,Owen Koonce,CP,G,30,30.5,17,6.1,11.8,52.1,1.9,4.9,38.5,2.8,3.2,89.5,5.1,1.6,1.2,0.5,2.9
112,Graham Ike,GONZ,F,31,22.3,17,6.5,10.8,59.9,0.4,0.9,37.9,3.7,4.7,79.5,7.4,1.4,0.7,0.6,1.6
113,Nakyel Shelton,EIU,G,29,34,17,5.7,13.2,43.2,1.7,4.7,36.3,3.9,4.8,82,4.6,2,1.6,0.8,2.6
114,Tanahj Pettway,PV,PG,29,30.8,17,5.9,13.4,44.3,1.6,5,32.4,3.5,5.1,68.7,3.5,1.2,1.2,0.1,2.8
115,Jalen Terry,EMU,G,28,37.3,17,5.9,12.9,45.8,3,7.6,38.8,2.2,2.6,86.1,5,2.9,1.6,0.4,2.6
116,Cam Carter,LSU,G,29,33.3,16.9,5.6,12.9,43.7,2.5,6.3,39.6,3.2,3.7,86.9,4,2.6,1.2,0.4,2.3
117,Ethan Roberts,PENN,G,24,33,16.9,5.7,13.3,42.8,2.4,6.5,37.4,3.2,3.9,81.7,5.8,2.1,0.8,0,2
118,Jacari Lane,UNA,G,31,33.4,16.9,5.8,14,41.8,2,5,39.4,3.3,4.2,78.3,3.1,4.2,1.4,0.1,2
119,Denijay Harris,USM,F,30,34.8,16.9,5.7,11.7,49.1,0.6,2,30.5,4.8,6.7,72.1,10.9,1.3,0.6,1.6,2.7
120,Ahmad Robinson,MER,G,31,30.9,16.9,5.6,13.1,43,1.6,4.8,33.1,4.1,5.7,71.6,4.7,4.9,1.9,0.2,3.9
121,Hunter Dickinson,KU,C,29,29.7,16.9,6.9,12.9,53.3,0.3,1.4,21.4,2.8,3.7,75.5,9.8,2,1,1.3,1.9
122,Walter Clayton Jr.,FLA,G,28,32.3,16.9,5.8,13.2,43.9,2.8,7.6,36.3,2.5,2.9,86.6,3.7,4,1.3,0.5,2.3
123,Zach Freemantle,XAV,F,26,31,16.8,6.3,12.5,50.8,1,3.3,30.2,3.2,4.2,75.9,7.1,2,1,0.8,1.7
124,Tyler Tejada,TOW,G,25,31.6,16.8,6.2,14.2,43.4,1.9,5.6,33.3,2.6,3.2,81.5,3.8,0.8,0.5,0.2,1.6
125,Davion Bailey,UIW,G,30,33.8,16.8,5.7,13.4,42.4,3.6,8.8,40.5,1.9,2.6,74.4,3,1,1.3,0.3,0.7
126,Josh Uduje,SJSU,G,28,31.4,16.8,6.3,12.5,50,1.5,4,36.9,2.9,3.7,77.7,4.5,1.5,1,0.4,1.9
127,Collin Murray-Boyles,SC,F,29,30.6,16.8,6.3,10.7,59.4,0.2,0.9,25.9,3.9,5.5,70,8.4,2.4,1.5,1.4,2.5
128,Langston Reynolds,UNCO,G,29,33,16.8,6.6,10.8,60.7,0.4,1.3,35.1,3.2,4.8,67.6,5.9,3.5,0.9,0.6,2.8
129,Xaivian Lee,PRIN,G,28,31.7,16.8,5.9,13.5,43.8,1.9,5.1,36.1,3.1,3.9,78.2,5.9,5.2,1.2,0.4,2.1
130,Ali Dibba,SIU,G,31,33.6,16.8,6.5,13.3,48.7,1,3,34.8,2.8,4.2,66.2,4.6,2,1.5,0.1,1.9
131,Steven Ashworth,CREI,G,28,35.6,16.8,5,12.3,40.3,3.1,8.4,37.2,3.7,4,93.7,4.1,6.9,0.7,0.1,3.7
132,Curtis Jones,ISU,G,28,30.3,16.8,5.6,13.1,42.8,2.5,6.7,36.9,3.1,3.8,81.9,4.5,2.3,1.1,0.2,1.3
133,Sterling Young,FAMU,G,26,25.2,16.7,5.2,12,43.7,2.2,6,36.8,4.1,5,82.2,1.9,1.7,0.5,0.1,2.2
134,Brody Fox,CIT,G,29,32.2,16.7,6.1,12.2,49.9,0.3,1.7,16.3,4.3,7.9,54.3,5.1,2.3,1.2,0,2.6
135,Jaland Lowe,PITT,G,28,35.2,16.7,5.4,14.3,37.5,1.4,5.1,26.6,4.6,5.3,87.8,4.2,5.3,1.8,0.2,3
136,Martaz Robinson,DSU,G,27,32.5,16.7,4.9,12,40.9,1,2.7,37.8,5.9,7.1,83.2,6.2,2.6,1.8,0.1,2.2
137,Bryce Johnson,UMBC,G,30,31.3,16.7,5.9,11.3,51.8,1.7,4.4,37.6,3.3,4.4,74.8,4.1,2.6,0.9,0.5,1.5
138,Matthew Cleveland,MIA,G,27,29.9,16.7,6,11.7,51.1,1.1,3,36.3,3.7,4.7,78,4.3,1.7,0.7,0.7,1.3
139,Jamir Simpson,SUU,G,29,31.9,16.7,5.5,12.9,42.9,1.3,3.6,35.6,4.3,5.3,81.3,4.7,1.9,0.4,0.1,2.7
140,Po'Boigh King,NCCU,G,29,30.3,16.7,5.7,13,43.7,2.2,6.6,33.5,3.1,4,77.4,2.9,1.6,1.2,0.1,1.4
141,John Camden,DEL,F,31,33.7,16.6,5.4,11.7,46.4,2.6,6.4,40.2,3.2,4,81.3,5.2,1.9,1.1,0.4,1.4
142,Dejour Reaves,IONA,G,30,33.8,16.6,6.4,14.4,44.8,1.5,4.8,31.5,2.3,2.7,85,5.3,1.9,2.1,0.2,1.6
143,Jalon Moore,OU,F,29,30.3,16.6,5.4,11.1,48.9,1.2,3.4,36.7,4.4,5.4,82.7,5.7,0.6,0.5,0.6,1.7
144,Marcus Dockery,HOW,G,29,34.8,16.6,6.2,12.4,50,2.6,6.2,41.1,1.6,1.9,82.1,2.6,2,1,0.1,1.8
145,Devontae Blanton,EKU,F,31,34.5,16.5,6.9,15.8,43.4,0.5,1.9,27.6,2.3,3.5,66.4,6.2,4.6,1.2,0.1,2.3
146,Myles Tate,APP,G,30,34.3,16.5,5.7,13.8,41.1,2.1,5.8,35.6,3.1,4.3,73.4,5.2,5.4,1.9,0.2,2.7
147,Sam Hines Jr.,SELA,G,30,32.9,16.5,6.2,12.7,49.2,0.7,1.8,37,3.4,4.4,75.9,6.2,1.9,1,0.6,1.9
148,Tyler McGhie,UCSD,G,30,30.1,16.5,5.8,13.2,43.9,3.4,8.5,39.5,1.5,1.8,85.2,3.9,1.8,1,0.2,0.7
149,Tylan Pope,TXST,F,31,25.6,16.5,5.7,10.6,54.3,0.4,1,38.7,4.6,5.7,80.7,6.5,0.6,0.7,1.5,1.7
150,Jacob Holt,SAC,F,30,26.7,16.4,5.5,10.7,51.2,1.3,3.5,36.8,4.2,5.9,71.6,7.1,1.1,0.6,0.8,2.2
151,Da'Sean Nelson,EMU,F,28,30.5,16.4,5.6,11.5,48.6,0.3,1.2,24.2,4.9,6.4,77.5,5.9,2.5,1,1.1,3.7
152,Jamar Brown,KC,G,28,33,16.4,5.4,12,44.5,2.2,5.6,39.2,3.5,3.9,90.7,7.6,1.2,1.6,0.3,1.9
153,Micah Peavy,GTWN,G,29,36.8,16.4,6.6,14,46.9,1.4,3.8,36.9,1.8,2.8,64.6,5.6,3.6,2.4,0.6,2.7
154,Erik Reynolds II,JOES,G,29,34.2,16.4,5.7,14.2,40,2.6,8.6,30.5,2.4,2.7,89.7,2.7,2.6,0.9,0.4,1.4
155,Trey Thomas,BCU,G,29,32,16.4,5.3,14.4,37.2,1.9,5.9,32.6,3.8,4.9,77.5,3.5,2.3,1.2,0.1,2.2
156,Josh Pascarelli,MRST,G,27,34.4,16.4,6.1,12.9,47.3,2.7,6.4,42.2,1.5,2,75.5,3.4,2.4,0.7,0.1,1.7
157,CJ Luster II,STBK,G,31,29.6,16.4,5,11.6,42.7,3.2,7.5,42.1,3.3,3.8,87.2,2.6,1.1,1.1,0.1,1.5
158,Marko Maletic,WIU,G,30,29.1,16.4,5.5,12,46.1,3.1,6.5,47.4,2.2,2.8,80.7,3.5,0.6,0.8,0.1,1.6
159,Marcus Banks Jr.,UMBC,G,31,30.3,16.4,5.6,12.8,43.7,3.2,7.9,40.8,1.9,2.2,85.5,4.1,2.1,1.3,0.2,2.1
160,Chase Hunter,CLEM,G,29,33.3,16.3,5.5,11.6,47.5,2.3,5.6,42,3,3.5,87.1,2.9,2.6,1.3,0.4,1.9
161,Marcus Adams Jr.,CSUN,F,29,29.1,16.3,6.4,12.1,52.9,2,5,39.6,1.6,2.1,77,4.8,1.4,1.1,0.4,1.6
162,Quinton Mincey,UML,G,30,35.6,16.3,5.8,12.2,47.5,1.7,4.4,38.2,3.1,3.9,78,6.5,2.9,0.6,0.5,2.4
163,Ugnius Jarusevicius,CMU,F,24,26.8,16.3,5.4,10.1,53.3,0.9,2.8,31.3,4.7,6.5,72.4,7.4,0.5,0.6,0.7,1.4
164,Chucky Hepburn,LOU,G,28,33.9,16.3,4.7,10.4,45.2,1.9,5.4,36,5,5.9,84.8,3.3,6,2.4,0.1,3
165,Donald Hand Jr.,BC,G,29,32.9,16.3,4.7,12.1,39,2.3,6,38.3,4.6,5.2,87.4,6.2,1.2,0.6,0.2,1.4
166,Kennard Davis Jr.,SIU,G,30,33.9,16.3,5.5,12.1,45.3,2,5.3,36.9,3.3,4.4,76.3,4.9,2.6,1.3,0.2,2.2
167,Ishmael Leggett,PITT,G,28,35.6,16.3,5.8,12.8,45.4,1.5,4.4,33.1,3.3,4.1,79.8,5.8,2.7,1.8,0.4,2.1
168,Rasheed Bello,PFW,G,31,33.1,16.3,5.6,12.5,45.3,2.4,5.6,43.1,2.5,2.8,89.8,2.4,4.1,1.8,0.3,2.2
169,Caleb Love,ARIZ,G,29,33.6,16.2,5.4,14.6,37.4,2.5,8.1,30.8,2.8,3.2,87.2,4.3,3.5,1.3,0.3,2.1
170,Robert McCray V,JAX,G,29,29.7,16.2,6.1,14,43.3,1.5,4.6,33.3,2.6,3.4,75.5,4.7,4.5,1.5,0.7,3.4
171,Orlando Lovejoy,DETM,G,29,35,16.2,6.1,13.6,44.9,0.1,0.6,23.5,3.9,4.5,86.2,4.7,3.8,1.7,0.1,2.6
172,Tarence Guinyard,UTM,G,30,28.3,16.2,5.1,11.5,44.8,1.6,4.8,32.4,4.4,5.9,74.4,4.7,2.2,1.4,0.2,1.8
173,TK Simpkins,ELON,G,26,29.6,16.2,5.3,12.7,42,2.1,5.8,36,3.4,4.5,75.9,3.2,2.6,1.1,0.3,2.5
174,Payton Sandfort,IOWA,F,29,31.4,16.1,5.3,13.4,39.7,2.4,7.3,33.3,3,3.4,87.9,6.2,3,0.7,0.7,1.9
