Rank,Player Name,Team,Pos,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
1949,Mylik Wilson,HOU,G,29,16.2,6,2.5,5.3,47.4,0.4,0.9,44,0.6,0.8,78.3,3.4,1.1,1.1,0.2,0.8
1950,Parker Fox,MINN,F,29,19.2,6,2.4,3.9,61.4,0,0.1,25,1.2,2.1,54.8,2.6,1,0.8,1.1,0.9
1951,Kwo Agwa,RGV,F,29,17.5,6,2.4,4.4,55.9,0.2,0.8,26.1,0.9,1.4,67.5,4.1,0.8,0.3,1.1,0.9
1952,Alden Applewhite,MUR,F,31,18.9,6,1.7,4.4,39,0.8,2.1,39.4,1.8,2.4,74.3,3.3,0.8,0.7,0.2,0.7
1953,Ibu Yamazaki,RAD,F,31,21,6,2.2,4.5,49.3,0.7,2,36.5,0.8,1,83.9,2.4,0.5,0.3,0.3,0.5
1954,Jae'Lyn Withers,UNC,F,30,15.9,6,2,3.8,54,0.8,1.7,48.1,1.1,1.6,70.2,4.1,0.6,0.4,0.4,0.7
1955,Joshua Beadle,BC,G,29,18.6,6,2.4,4.8,49.3,0.6,1.2,50,0.7,1,65.5,1.9,2.1,0.6,0.1,1.6
1956,Joe Ostrowsky,CCSU,G,29,27.4,6,2.1,5.4,39.2,1.1,3.3,34.4,0.6,0.7,81,3.3,2.4,1.4,0,0.9
1957,Jeffrey Mills,AFA,G,29,29.9,6,2.2,5.2,42.4,0.9,2.8,33.8,0.7,1.3,51.4,3.3,2.3,0.8,0,1.2
1958,Caleb Shaw,GCU,G,26,16.8,6,2,4.2,47.7,0.8,1.9,42,1.2,1.7,68.9,2.1,0.9,0.6,0.1,1.1
1959,Marqui Worthy,MASS,G,28,18.2,6,2.3,5.4,42.8,0.1,1.1,12.9,1.2,1.7,70.8,1.5,1.9,0.6,0.2,1.8
1960,Mac Wrecke,GB,G,31,20,6,1.8,4.4,41.2,0.6,1.9,32.2,1.8,2.3,77.5,2.7,0.7,0.5,0.4,0.9
1961,Tyler Perkins,VILL,G,30,25.8,6,2.2,5.6,39.1,1.2,3.4,35,0.4,0.5,75,3.9,1.1,1.1,0.3,0.5
1962,Jayshayne Woodard,ECU,G,29,21.2,6,2.1,4.5,45.8,0.3,1,28.6,1.6,2.5,63.9,4,1.7,1.2,1,1.4
1963,JJ Wheat,USA,G,31,19.9,6,1.8,3.5,52.3,0.2,0.6,36.8,2.1,3.1,67.7,2,2.1,1.5,0.1,1.1
1964,Lachlan Brewer,SAC,G,29,27.4,6,2.2,4.6,47.8,1.2,2.7,45.5,0.4,0.9,42.3,3.2,1.1,0.9,0.1,1.3
1965,Jack Mielke,USI,F,30,31.6,6,1.9,5.7,33.9,1.5,4.8,31.5,0.6,0.6,100,5.7,0.7,0.5,0.6,0.6
1966,Kwame Evans Jr.,ORE,F,29,15.3,6,1.9,4.1,45.8,0.4,1.5,25,1.9,2.5,74,3.9,0.7,0.4,0.6,1.1
1967,Jahmai Mashack,TENN,G,29,28.2,6,2,4.4,46.5,0.5,1.4,37.5,1.4,1.9,74.1,4.1,1.4,1.7,0.7,0.9
1968,Sin'Cere McMahon,NORF,G,29,18.3,6,1.7,4.9,33.6,1.1,3.8,29.4,1.6,1.8,86.5,1,1.3,0.5,0,0.8
1969,Juke Harris,WAKE,G,28,18.3,6,2,4.7,43.2,0.6,2.1,28.8,1.3,2.3,56.3,2.6,0.3,0.5,0.2,0.6
1970,Troy D'Amico,DEP,F,27,24.8,6,1.7,4,41.3,1.2,3.1,38.6,1.4,1.6,90.7,2.7,1.6,0.4,0.4,0.9
1971,Seydou Traore,IOWA,F,23,16.5,6,2.3,5.3,43,0.3,1.3,24.1,1.1,1.8,63.4,3,1.3,0.5,0.7,1
1972,Tucker Anderson,USU,F,30,17.1,5.9,2.1,5.5,37.3,1.1,3.8,27.8,0.7,0.9,81.5,2,0.8,0.4,0.3,0.3
1973,Carlos Paez,SELA,G,29,18.6,5.9,1.8,4.1,44.1,1.1,2.6,44,1.2,1.3,89.7,2.1,1.8,0.7,0.1,0.9
1974,Anthony Finkley,JOES,F,29,23,5.9,1.9,4.4,43,1.1,2.7,42.9,1,1.3,78.4,3.6,1.6,0.7,0.3,1.1
1975,Kaleb Brown,CSUF,G,28,20.8,5.9,1.9,5.3,36.1,0.6,2.2,26.2,1.6,2.1,74.6,3.2,1.7,0.6,0.1,2.2
1976,Alonzo Dodd,APP,G,28,24.2,5.9,2,5.1,39.6,0.6,2,32.1,1.2,1.8,68,3.3,2.6,0.9,0.3,1.6
1977,Kyndall Davis,UL,G,26,21.5,5.9,2.3,6.1,38,0.8,2.7,29.6,0.5,0.8,61.9,3.2,1.2,1.1,0.5,0.8
1978,Sam Wright,COLG,F,31,14.1,5.9,2.2,4.5,49.3,0.8,2.2,36.8,0.7,1,73.3,2.5,0.7,0.3,0,0.6
1979,Matt Zona,FOR,F,29,17,5.9,1.9,4.2,44.7,0.7,2.3,31.8,1.4,2,67.8,3.4,0.6,0.7,0.6,0.8
