#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
103,Oscar Cluff,SDKSU,27,27.3,17.3,6.7,10.5,.640,0.1,0.2,.600,3.7,4.7,.795,4.3,8.1,12.5,2.9,0.5,0.9,2.1,2.2
104,Nik Graves,CHAR,27,34.2,17.3,5.1,12.2,.421,1.7,5.5,.311,5.3,6.9,.759,1.1,3.2,4.3,2.9,0.9,0.2,1.3,2.1
105,Jason Edwards,VANDY,27,24.5,17.3,5.4,12.2,.447,2.0,5.5,.369,4.3,5.2,.830,0.1,1.8,2.0,1.3,0.8,0.0,1.5,1.4
106,Bryce Johnson,UMBC,29,32.3,17.2,6.1,11.7,.521,1.7,4.6,.376,3.4,4.5,.748,0.7,3.6,4.2,2.7,1.0,0.6,1.6,1.7
107,Curtis Jones,IWAST,26,30.5,17.2,5.8,13.6,.431,2.6,7.0,.368,2.9,3.5,.824,0.5,4.2,4.6,2.4,1.2,0.2,1.2,1.4
108,Noah Williamson,BUCK,28,29.5,17.1,5.9,11.2,.525,1.0,3.0,.325,4.4,7.3,.606,1.3,6.2,7.5,1.5,0.8,1.0,2.8,2.5
109,Shelton Williams-Dryden,UWG,29,30.1,17.1,7.1,12.7,.558,0.2,0.5,.333,2.8,4.1,.678,2.5,5.0,7.6,1.6,1.2,0.3,1.7,2.5
110,Samage Teel,INDST,29,33.7,17.1,5.9,12.1,.486,1.9,5.6,.348,3.5,4.4,.783,0.4,3.8,4.2,5.1,1.3,0.2,3.3,2.0
111,Matt Rogers,AMERU,29,27.3,17.1,6.6,11.9,.552,1.8,4.4,.402,2.2,3.0,.744,1.2,4.5,5.7,1.2,0.6,0.4,2.0,2.6
112,Brooks Barnhizer,NWU,17,37.0,17.1,6.1,14.6,.414,1.0,3.8,.266,4.0,5.2,.764,1.5,7.3,8.8,4.2,2.3,1.1,2.8,1.7
113,Malachi Davis,LIU,28,32.8,17.1,6.5,15.9,.406,1.3,4.8,.274,2.9,3.6,.792,0.3,2.6,3.0,3.3,1.9,0.3,3.6,2.6
114,Steven Ashworth,CREI,26,35.6,17.1,5.0,12.4,.402,3.1,8.4,.365,4.0,4.3,.937,0.2,3.9,4.2,7.0,0.7,0.1,3.8,1.6
115,"Walter Clayton, Jr.",FLA,26,31.8,17.1,5.9,13.2,.449,2.8,7.6,.365,2.5,2.8,.877,0.3,3.4,3.7,4.0,1.3,0.5,2.2,1.8
116,Quentin Jones,NIU,27,36.6,17.1,6.0,13.0,.459,1.7,4.9,.344,3.5,4.6,.764,0.4,4.5,4.9,3.6,1.2,1.0,2.4,2.6
117,Robbie Avila,STLOU,24,33.3,17.0,5.8,11.9,.488,1.7,5.0,.342,3.8,5.1,.738,1.0,5.9,6.9,4.1,1.2,0.8,3.2,2.3
118,Robert Smith,DESU,25,30.2,17.0,6.2,15.1,.410,2.5,7.3,.346,2.1,2.8,.746,0.4,2.7,3.2,3.1,1.3,0.1,2.6,1.9
119,Chase Hunter,CLEM,27,33.9,17.0,5.7,11.9,.481,2.5,5.8,.427,3.1,3.6,.885,0.4,2.6,3.0,2.5,1.4,0.4,2.0,1.8
120,Jalen Rucker,USMA,28,32.3,17.0,6.3,14.9,.424,2.2,6.4,.341,2.2,2.8,.795,0.4,3.7,4.0,3.1,1.5,0.1,2.1,1.7
121,Jacari White,NDSU,30,30.7,17.0,5.5,12.0,.454,2.9,7.1,.402,3.2,3.7,.857,1.0,3.4,4.4,2.3,0.7,0.4,1.9,2.3
122,Jalon Moore,OKLA,27,30.6,17.0,5.6,11.4,.489,1.3,3.3,.382,4.6,5.5,.826,1.3,4.4,5.7,0.6,0.6,0.7,1.7,2.7
123,Ryan Cornish,DART,23,28.8,17.0,5.5,13.2,.418,1.9,5.1,.373,4.0,5.3,.748,0.5,4.4,4.9,3.5,1.4,0.2,2.6,2.5
124,Marcus Dockery,HWRD,27,34.7,16.9,6.4,12.6,.506,2.6,6.2,.419,1.6,2.0,.811,0.4,2.1,2.6,2.1,1.0,0.0,1.9,1.0
125,Owen Koonce,POLY,28,30.5,16.9,6.0,11.7,.515,1.9,4.9,.387,2.9,3.3,.891,1.4,3.8,5.2,1.6,1.1,0.5,2.8,2.8
126,Cam Carter,LSU,27,33.3,16.9,5.6,12.9,.435,2.4,6.1,.398,3.3,3.8,.863,0.4,3.7,4.1,2.7,1.3,0.5,2.4,2.1
127,Graham Ike,ZAGS,29,22.3,16.8,6.3,10.8,.586,0.3,1.0,.357,3.8,4.8,.797,2.1,5.4,7.5,1.4,0.6,0.5,1.6,2.8
128,"PJay Smith, Jr.",FRMN,27,31.4,16.8,5.2,12.2,.429,3.3,8.0,.406,3.1,3.8,.816,0.5,3.7,4.1,3.6,1.6,0.2,2.3,1.8
129,Brody Fox,CTDL,27,32.1,16.8,6.1,12.1,.503,0.3,1.7,.170,4.4,7.9,.551,0.7,4.2,4.9,2.5,1.2,0.0,2.7,2.1
130,Chase Forte,SODAK,29,26.8,16.8,5.6,12.2,.460,0.8,2.7,.291,4.8,7.5,.633,1.8,2.4,4.2,3.2,2.0,0.3,2.4,2.2
131,Ali Abdou Dibba,SOILL,29,33.6,16.8,6.5,13.3,.488,1.1,3.0,.356,2.7,3.9,.690,1.3,3.3,4.7,1.9,1.5,0.1,1.9,1.8
132,Dejour Reaves,IONA,28,33.8,16.8,6.4,14.5,.444,1.5,4.8,.313,2.4,2.9,.850,1.6,3.9,5.4,1.9,2.1,0.3,1.5,1.8
133,Tyler McGhie,UCSD,28,30.1,16.8,5.9,13.3,.445,3.4,8.5,.401,1.5,1.8,.860,0.3,3.8,4.0,1.8,0.9,0.2,0.7,1.4
134,Tyler Tejada,TOWS,23,31.7,16.8,6.2,14.3,.433,1.8,5.5,.325,2.7,3.3,.803,0.7,3.3,4.0,0.8,0.5,0.2,1.6,1.0
